title,budget,audiences,domestic_sales
대호,17000000000.0 ,1584168.0 ,12104808332.0 
좋은놈 나쁜놈 이상한놈,17400000000.0 ,6684933.0 ,43747552000.0 
암살,18000000000.0 ,12705700.0 ,98463132781.0 
태풍,20000000000.0 ,3035086.0 ,19372557600.0 
미스터고,22000000000.0 ,1328888.0 ,9337976000.0 
마이웨이,28000000000.0 ,1586042.0 ,11813839000.0 
디워,30000000000.0 ,7855441.0 ,49339934700.0 
군함도,33000000000.0 ,6592151.0 ,50500000000.0 
신과함께,40000000000.0 ,12274996.0 ,102666146909.0 
설국열차,43700000000.0 ,9349993.0 ,67010087500.0 
목격자,4500000000.0 ,2524720.0 ,21737061097.0 
"그날, 바다",900000000.0 ,540631.0 ,4446000528.0 
독전,8300000000.0 ,5063684.0 ,43485551113.0 
탐정: 리턴즈,5000000000.0 ,3152872.0 ,26909459678.0 
암수살인,5000000000.0 ,3789321.0 ,32995138548.0 
너의 결혼식,3000000000.0 ,2820969.0 ,23676244369.0 
리틀 포레스트,1500000000.0 ,1506269.0 ,11900000000.0 
완벽한 타인,3800000000.0 ,5293435.0 ,44350807074.0 
곤지암,1100000000.0 ,2675575.0 ,21442194144.0 
말모이,11000000000.0 ,2812877.0 ,23685091520.0 
뺑반,12400000000.0 ,1826912.0 ,15224305848.0 
자전차왕 엄복동,15000000000.0 ,172212.0 ,1304861670.0 
우상,10000000000.0 ,183784.0 ,1581839728.0 
7광구,10000000000.0 ,2242510.0 ,19391653500.0 
고지전,11000000000.0 ,2945137.0 ,21968557600.0 
베를린,11000000000.0 ,7166290.0 ,52355568637.0 
도둑들,11500000000.0 ,12983178.0 ,93664808500.0 
타워,12000000000.0 ,3166425.0 ,22996601500.0 
해적,13400000000.0 ,8666046.0 ,66370682706.0 
태극기 휘날리며,14800000000.0 ,2544911.0 ,15687180500.0 
