Title,Budget,Domestic,International
Avengers: Endgame," $400,000,000"," $858,373,000"," $2,797,800,564"
Pirates of the Caribbean: On Stranger Tides," $379,000,000"," $241,071,802"," $1,045,713,802"
Avengers: Age of Ultron," $365,000,000"," $459,005,868"," $1,395,316,979"
Star Wars Ep. VII: The Force Awakens," $306,000,000"," $936,662,225"," $2,064,615,817"
Avengers: Infinity War," $300,000,000"," $678,815,482"," $2,048,359,754"
Pirates of the Caribbean: At World’s End," $300,000,000"," $309,420,425"," $960,996,492"
Justice League," $300,000,000"," $229,024,295"," $655,945,209"
Spectre," $300,000,000"," $200,074,175"," $879,500,760"
Star Wars: The Rise of Skywalker," $275,000,000"," $515,202,542"," $1,072,848,487"
Solo: A Star Wars Story," $275,000,000"," $213,767,512"," $393,151,347"
John Carter," $263,700,000"," $73,058,679"," $282,778,100"
Batman v Superman: Dawn of Justice," $263,000,000"," $330,360,194"," $872,395,091"
Star Wars Ep. VIII: The Last Jedi," $262,000,000"," $620,181,382"," $1,331,635,141"
The Lion King," $260,000,000"," $543,638,043"," $1,654,367,425"
Tangled," $260,000,000"," $200,821,936"," $584,899,819"
Spider-Man 3," $258,000,000"," $336,530,303"," $894,860,230"
Captain America: Civil War," $250,000,000"," $408,084,349"," $1,151,918,521"
Harry Potter and the Half-Blood Prince," $250,000,000"," $302,089,278"," $929,411,069"
The Hobbit: The Desolation of Smaug," $250,000,000"," $258,241,522"," $959,358,436"
The Hobbit: The Battle of the Five Armies," $250,000,000"," $255,119,788"," $940,389,558"
The Fate of the Furious," $250,000,000"," $225,764,765"," $1,236,703,796"
No Time to Die," $250,000,000"," $160,772,007"," $770,727,747"
Avatar," $237,000,000"," $760,507,625"," $2,845,899,541"
Superman Returns," $232,000,000"," $200,120,000"," $391,081,192"
The Dark Knight Rises," $230,000,000"," $448,139,099"," $1,082,228,107"
Pirates of the Caribbean: Dead Men Tell No Tales," $230,000,000"," $172,558,876"," $794,861,794"
Quantum of Solace," $230,000,000"," $169,368,427"," $591,692,078"
The Avengers," $225,000,000"," $623,357,910"," $1,515,100,211"
Pirates of the Caribbean: Dead Man’s Chest," $225,000,000"," $423,315,812"," $1,066,179,725"
Man of Steel," $225,000,000"," $291,045,518"," $667,999,518"
The Chronicles of Narnia: Prince Caspian," $225,000,000"," $141,621,490"," $417,341,288"
The Lone Ranger," $225,000,000"," $89,302,115"," $260,002,115"
The Amazing Spider-Man," $220,000,000"," $262,030,663"," $757,890,267"
Battleship," $220,000,000"," $65,233,400"," $313,477,717"
Transformers: The Last Knight," $217,000,000"," $130,168,683"," $602,893,340"
Jurassic World," $215,000,000"," $652,306,625"," $1,669,979,967"
Men in Black 3," $215,000,000"," $179,020,854"," $654,213,485"
Transformers: Revenge of the Fallen," $210,000,000"," $402,111,870"," $836,519,699"
Transformers: Age of Extinction," $210,000,000"," $245,439,076"," $1,104,054,072"
X-Men: The Last Stand," $210,000,000"," $234,362,462"," $459,260,946"
Robin Hood," $210,000,000"," $105,487,148"," $322,459,006"
King Kong," $207,000,000"," $218,080,025"," $550,517,357"
The Golden Compass," $205,000,000"," $70,107,728"," $367,262,558"
Tenet," $205,000,000"," $58,504,105"," $362,450,957"
Black Panther," $200,000,000"," $700,059,566"," $1,336,494,321"
Spider-Man: No Way Home," $200,000,000"," $670,782,364"," $1,538,282,364"
Titanic," $200,000,000"," $659,363,944"," $2,207,986,545"
Incredibles 2," $200,000,000"," $608,581,744"," $1,242,805,359"
Rogue One: A Star Wars Story," $200,000,000"," $532,177,324"," $1,055,135,598"
Finding Dory," $200,000,000"," $486,295,561"," $1,025,006,125"
National Treasure," $100,000,000"," $173,005,002"," $331,323,410"
Django Unchained," $100,000,000"," $162,805,434"," $449,841,566"
1917," $100,000,000"," $159,227,644"," $370,603,379"
Little Fockers," $100,000,000"," $148,438,600"," $310,650,574"
True Lies," $100,000,000"," $146,282,411"," $365,300,000"
American Gangster," $100,000,000"," $130,164,645"," $267,985,456"
Cloudy with a Chance of Meatballs," $100,000,000"," $124,870,275"," $236,827,677"
The Other Guys," $100,000,000"," $119,219,978"," $170,936,470"
