title,budget,audiences,domestic_sales
대호,17000000000,1760000,
좋은놈 나쁜놈 이상한놈,17400000000,6690000,
암살,18000000000,12700000,
태풍,20000000000,3470000,
미스터고,22000000000,1320000,
마이웨이,28000000000,2100000,
디워,30000000000,7800000,
군함도,33000000000,6590000,
신과함께,40000000000,14410000,
설국열차,43700000000,9350000,
목격자,4500000000,2520000,21700000000
"그날, 바다",900000000,540000,4400000000
독전,8300000000,5060000,43400000000
탐정: 리턴즈,5000000000,3150000,26900000000
암수살인,5000000000,3780000,32900000000
너의 결혼식,3000000000,2820000,23600000000
리틀 포레스트,1500000000,1500000,11900000000
완벽한 타인,3800000000,5290000,44300000000
곤지암,1100000000,2670000,21400000000
말모이,11000000000,2860000,
뺑반,12400000000,1850000,
자전차왕 엄복동,15000000000,170000,
우상,10000000000,180000,
7광구,10000000000,,19400000000
고지전,11000000000,,22000000000
베를린,11000000000,,52400000000
도둑들,11500000000,,92700000000
타워,12000000000,,37600000000
해적,13400000000,,66400000000
태극기 휘날리며,14800000000,,78500000000
