moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
극한직업,2019.1.23,139651845516,16265618,2003,292584,한국,(주)씨제이이엔엠,이병헌,코미디,"류승룡(고반장), 이하늬(장형사), 진선규(마형사)",[국내] 15세 관람가
명량,2014.7.30,135748398910,17613682,1587,188611,한국,(주)씨제이이엔엠,정세교,다큐멘터리,"김한민, 오타니 료헤이, 이해영",[국내] 12세 관람가
어벤져스: 엔드게임,2019.4.24,122182694160,13934592,2835,242001,미국,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)",[국내] 12세 관람가
베테랑,2015.8.5,105168155250,13414009,1115,199231,한국,(주)씨제이이엔엠,류승완,액션,"황정민(서도철), 유아인(조태오), 유해진(최상무)",[국내] 15세 관람가
신과함께-인과 연,2018.8.1,102666146909,12274996,2235,179981,한국,롯데컬처웍스(주)롯데엔터테인먼트,김용화,판타지,"하정우(강림), 주지훈(해원맥), 김향기(덕춘)",[국내] 12세 관람가
어벤져스: 인피니티 워,2018.4.25,99926399769,11212710,2553,240501,미국,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 조슈 브롤린(타노스), 크리스 헴스워스(토르)",[국내] 12세 관람가
암살,2015.7.22,98463132781,12705700,1519,175185,한국,(주)쇼박스,라이언 화이트,다큐멘터리,[국내] 15세 관람가,
택시운전사,2017.8.2,95853645649,12186327,1906,184075,한국,(주)쇼박스,장훈,드라마,"송강호(김만섭), 토마스 크레취만(위르겐 힌츠페터(피터)), 유해진(황태술)",[국내] 15세 관람가
도둑들,2012.7.25,93664808500,12983178,1091,155392,한국,(주)쇼박스,최동훈,범죄,"김윤석(마카오박), 김혜수(팹시), 이정재(뽀빠이)",[국내] 15세 관람가
부산행,2016.7.20,93178283048,11565479,1788,151315,한국,(주)넥스트엔터테인먼트월드(NEW),연상호,액션,"공유(석우), 정유미(성경), 마동석(상화)",[국내] 15세 관람가
7번방의 선물,2013.1.23,91431914670,12811206,866,166815,한국,(주)넥스트엔터테인먼트월드(NEW),이환경,코미디,"류승룡(용구), 박신혜(큰 예승), 갈소원(어린 예승)",[국내] 15세 관람가
