moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
극한직업,2019.1.23,139651845516.0,16265618.0,2003.0,292584.0,0,(주)씨제이이엔엠,이병헌,0,3,2
명량,2014.7.30,135748398910.0,17613682.0,1587.0,188611.0,0,(주)씨제이이엔엠,정세교,1,3,1
어벤져스: 엔드게임,2019.4.24,122182694160.0,13934592.0,2835.0,242001.0,1,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,2,3,1
베테랑,2015.8.5,105168155250.0,13414009.0,1115.0,199231.0,0,(주)씨제이이엔엠,류승완,2,3,2
신과함께-인과 연,2018.8.1,102666146909.0,12274996.0,2235.0,179981.0,0,롯데컬처웍스(주)롯데엔터테인먼트,김용화,3,3,1
어벤져스: 인피니티 워,2018.4.25,99926399769.0,11212710.0,2553.0,240501.0,1,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,2,3,1
택시운전사,2017.8.2,95853645649.0,12186327.0,1906.0,184075.0,0,(주)쇼박스,장훈,4,3,2
도둑들,2012.7.25,93664808500.0,12983178.0,1091.0,155392.0,1,(주)쇼박스,최동훈,5,3,2
부산행,2016.7.20,93178283048.0,11565479.0,1788.0,151315.0,0,(주)넥스트엔터테인먼트월드(NEW),연상호,2,3,2
7번방의 선물,2013.1.23,91431914670.0,12811206.0,866.0,166815.0,0,(주)넥스트엔터테인먼트월드(NEW),이환경,0,3,2
"광해, 왕이 된 남자",2012.9.13,88899448769.0,12319390.0,1001.0,203400.0,0,(주)씨제이이엔엠,추창민,4,3,2
어벤져스: 에이지 오브 울트론,2015.4.23,88582586366.0,10494499.0,1843.0,191778.0,1,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",조스 웨던,2,3,1
겨울왕국,2014.1.16,82461504400.0,10296101.0,1010.0,157683.0,1,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),크리스 벅,6,2,0
아바타,2009.12.17,81455728000.0,8151952.0,714.0,111860.0,1,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",제임스 카메론,7,3,1
인터스텔라,2014.11.6,80671424300.0,10105247.0,1410.0,166218.0,1,워너브러더스 코리아(주),크리스토퍼 놀란,7,3,1
엑시트,2019.7.31,79232012162.0,9426011.0,1660.0,202223.0,0,(주)씨제이이엔엠,이상근,2,2,1
검사외전,2016.2.3,77320403264.0,9707581.0,1812.0,153532.0,0,(주)쇼박스,이일형,5,2,2
트랜스포머 3,2011.6.29,74840681500.0,7784743.0,1409.0,124450.0,1,(주)씨제이이엔엠,마이클 베이,7,3,1
캡틴 아메리카: 시빌 워,2016.4.27,72672111827.0,8677249.0,1991.0,161696.0,1,월트디즈니컴퍼니코리아(주),안소니 루소,2,3,1
아이언맨 3,2013.4.25,70806364000.0,9001331.0,1389.0,163584.0,1,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),셰인 블랙,7,3,1
국제시장,2014.12.17,69841376134.0,8915904.0,1044.0,149061.0,0,(주)씨제이이엔엠,윤제균,4,3,1
스파이더맨: 파 프롬 홈,2019.7.2,69010000100.0,8021145.0,2142.0,180474.0,1,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,존 왓츠,2,3,1
설국열차,2013.8.1,67010087500.0,9349993.0,1128.0,124823.0,1,(주)씨제이이엔엠,봉준호,7,3,2
해적: 바다로 간 산적,2014.8.6,66370682706.0,8666046.0,910.0,133350.0,0,롯데쇼핑㈜롯데엔터테인먼트,이석훈,8,2,1
관상,2013.9.11,66005427500.0,9134581.0,1240.0,125073.0,0,(주)쇼박스,한재림,4,3,2
공조,2017.1.18,63783051326.0,7817618.0,1392.0,142989.0,0,(주)씨제이이엔엠,김성훈,2,3,2
