moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
극한직업,2019-01-23,16265618,2003,292584,6834886,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,139651845516
명량,2014-07-30,17613682,1587,188611,8982706,3,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,135748398910
어벤져스: 엔드게임,2019-04-24,13934592,2835,242001,10224854,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122182694160
베테랑,2015-08-05,13414009,1115,199231,7576385,3,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105168155250
신과함께-인과 연,2018-08-01,12274996,2235,179981,6491963,3,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,102666146909
어벤져스: 인피니티 워,2018-04-25,11212710,2553,240501,10224854,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99926399769
택시운전사,2017-08-02,12186327,1906,184075,6849425,3,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,95853645649
도둑들,2012-07-25,12983178,1091,155392,12983178,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,93664808500
부산행,2016-07-20,11565479,1788,151315,5455944,3,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93178283048
7번방의 선물,2013-01-23,12811206,866,166815,4590240,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,91431914670
"광해, 왕이 된 남자",2012-09-13,12319390,1001,203400,6423698,3,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,88899448769
어벤져스: 에이지 오브 울트론,2015-04-23,10494499,1843,191778,10494499,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88582586366
겨울왕국,2014-01-16,10296101,1010,157683,5337414,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82461504400
아바타,2009-12-17,8151952,714,111860,3721359,3,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,81455728000
인터스텔라,2014-11-06,10105247,1410,166218,3583005,3,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80671424300
