moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
극한직업,2019-01-23,139651845516,16265618,2003,292584,domestic,0,major_domestic,0,6834886,comedy,0,3,PG 15,0,1
명량,2014-07-30,135748398910,17613682,1587,188611,domestic,0,major_domestic,0,8982706,etc,1,3,PG 12,1,7
어벤져스: 엔드게임,2019-04-24,122182694160,13934592,2835,242001,abroad,1,major_abroad,1,10224854,action,2,3,PG 12,1,4
베테랑,2015-08-05,105168155250,13414009,1115,199231,domestic,0,major_domestic,0,7576385,action,2,3,PG 15,0,8
신과함께-인과 연,2018-08-01,102666146909,12274996,2235,179981,domestic,0,major_domestic,0,6491963,fantasy,3,3,PG 12,1,8
어벤져스: 인피니티 워,2018-04-25,99926399769,11212710,2553,240501,abroad,1,major_abroad,1,10224854,action,2,3,PG 12,1,4
택시운전사,2017-08-02,95853645649,12186327,1906,184075,domestic,0,major_domestic,0,6849425,drama,4,3,PG 15,0,8
도둑들,2012-07-25,93664808500,12983178,1091,155392,domestic,0,major_domestic,0,12983178,crime,5,3,PG 15,0,7
부산행,2016-07-20,93178283048,11565479,1788,151315,domestic,0,major_domestic,0,5455944,action,2,3,PG 15,0,7
7번방의 선물,2013-01-23,91431914670,12811206,866,166815,domestic,0,major_domestic,0,4590240,comedy,0,3,PG 15,0,1
"광해, 왕이 된 남자",2012-09-13,88899448769,12319390,1001,203400,domestic,0,major_domestic,0,6423698,drama,4,3,PG 15,0,9
어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843,191778,abroad,1,major_abroad,1,10494499,action,2,3,PG 12,1,4
겨울왕국,2014-01-16,82461504400,10296101,1010,157683,abroad,1,major_abroad,1,5337414,animation,6,2,G_rated,2,1
아바타,2009-12-17,81455728000,8151952,714,111860,abroad,1,etc_distributor,2,3721359,sf,7,3,PG 12,1,12
인터스텔라,2014-11-06,80671424300,10105247,1410,166218,abroad,1,major_abroad,1,3583005,sf,7,3,PG 12,1,11
엑시트,2019-07-31,79232012162,9426011,1660,202223,domestic,0,major_domestic,0,9426011,action,2,2,PG 12,1,7
검사외전,2016-02-03,77320403264,9707581,1812,153532,domestic,0,major_domestic,0,9707581,crime,5,2,PG 15,0,2
트랜스포머 3,2011-06-29,74840681500,7784743,1409,124450,abroad,1,major_domestic,0,5231726,sf,7,3,PG 12,1,6
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,abroad,1,major_abroad,1,10224854,action,2,3,PG 12,1,4
아이언맨 3,2013-04-25,70806364000,9001331,1389,163584,abroad,1,major_abroad,1,9001331,sf,7,3,PG 12,1,4
국제시장,2014-12-17,69841376134,8915904,1044,149061,domestic,0,major_domestic,0,8915904,drama,4,3,PG 12,1,12
스파이더맨: 파 프롬 홈,2019-07-02,69010000100,8021145,2142,180474,abroad,1,etc_distributor,2,5866190,action,2,3,PG 12,1,7
설국열차,2013-08-01,67010087500,9349993,1128,124823,domestic,0,major_domestic,0,4788931,sf,7,3,PG 15,0,8
해적: 바다로 간 산적,2014-08-06,66370682706,8666046,910,133350,domestic,0,major_domestic,0,5951226,adventure,8,2,PG 12,1,8
관상,2013-09-11,66005427500,9134581,1240,125073,domestic,0,major_domestic,0,9134581,drama,4,3,PG 15,0,9
공조,2017-01-18,63783051326,7817618,1392,142989,domestic,0,major_domestic,0,4289071,action,2,3,PG 15,0,1
수상한 그녀,2014-01-22,62705348249,8657982,1027,136975,domestic,0,major_domestic,0,5723297,comedy,0,3,PG 15,0,1
밀정,2016-09-07,61269783831,7500420,1444,138161,domestic,0,major_abroad,1,4658741,action,2,2,PG 15,0,9
어벤져스,2012-04-26,59557853478,7074867,967,109697,abroad,1,major_abroad,1,10224854,action,2,3,PG 12,1,4
스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,abroad,1,etc_distributor,2,5866190,action,2,2,PG 12,1,7
내부자들,2015-11-19,56465665657,7055332,1129,152265,domestic,0,major_domestic,0,2977866,crime,5,3,X_rated,3,11
