moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
어벤져스: 엔드게임,2019-04-24,122182694160,13934592,2835,242001,major_abroad,1,10224854,action,2,3,PG 12,1,4
어벤져스: 인피니티 워,2018-04-25,99926399769,11212710,2553,240501,major_abroad,1,10224854,action,2,3,PG 12,1,4
어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843,191778,major_abroad,1,10494499,action,2,3,PG 12,1,4
겨울왕국,2014-01-16,82461504400,10296101,1010,157683,major_abroad,1,5337414,animation,6,2,G_rated,2,1
아바타,2009-12-17,81455728000,8151952,714,111860,etc_distributor,2,3721359,sf,7,3,PG 12,1,12
인터스텔라,2014-11-06,80671424300,10105247,1410,166218,major_abroad,1,3583005,sf,7,3,PG 12,1,11
트랜스포머 3,2011-06-29,74840681500,7784743,1409,124450,major_domestic,0,5231726,sf,7,3,PG 12,1,6
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,major_abroad,1,10224854,action,2,3,PG 12,1,4
아이언맨 3,2013-04-25,70806364000,9001331,1389,163584,major_abroad,1,9001331,sf,7,3,PG 12,1,4
스파이더맨: 파 프롬 홈,2019-07-02,69010000100,8021145,2142,180474,etc_distributor,2,5866190,action,2,3,PG 12,1,7
어벤져스,2012-04-26,59557853478,7074867,967,109697,major_abroad,1,10224854,action,2,3,PG 12,1,4
스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,etc_distributor,2,5866190,action,2,2,PG 12,1,7
미션 임파서블: 폴아웃,2018-07-25,55888375112,6584915,1957,101374,major_domestic,0,6355701,action,2,3,PG 15,0,7
캡틴 마블,2019-03-06,51507488723,5802810,2100,186382,major_abroad,1,5802810,action,2,3,PG 12,1,3
킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,728,139988,etc_distributor,2,4536339,action,2,3,X_rated,3,2
쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,5661128,1972,144779,major_abroad,1,3141916,action,2,2,PG 12,1,6
미션 임파서블: 로그네이션,2015-07-30,48547353607,6126488,1202,89682,major_domestic,0,6355701,action,2,3,PG 15,0,7
다크 나이트 라이즈,2012-07-19,47644838000,6396528,1210,81254,major_abroad,1,3583005,action,2,3,PG 15,0,7
앤트맨과 와스프,2018-07-04,47468053685,5448134,1775,148244,major_abroad,1,4144964,action,2,3,PG 12,1,7
블랙 팬서,2018-02-14,45885123957,5399227,1620,119170,major_abroad,1,5399227,action,2,1,PG 12,1,2
조커,2019-10-02,45381075450,5247874,1418,147380,major_abroad,1,5247874,thriller,11,1,PG 15,0,10
쿵푸팬더 2,2011-05-26,44298708500,5062720,948,101338,major_domestic,0,4523766,animation,6,6,G_rated,2,5
트랜스포머: 사라진 시대,2014-06-25,44012752845,5295836,1602,107875,major_domestic,0,5231726,sf,7,3,PG 12,1,6
라이온 킹,2019-07-17,41519457430,4743264,1936,126496,major_abroad,1,3141537,adventure,8,3,G_rated,2,7
어메이징 스파이더맨,2012-06-28,41163951235,4853123,1118,92755,etc_distributor,2,4510738,action,2,2,PG 12,1,6
킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687,95922,etc_distributor,2,4536339,action,2,3,X_rated,3,9
마션,2015-10-08,39663145295,4880800,1132,114183,major_abroad,1,4880800,sf,7,1,PG 12,1,10
신비한 동물사전,2016-11-16,39300515858,4662534,1431,115676,major_abroad,1,2946451,fantasy,3,3,PG 12,1,11
토르: 라그나로크,2017-10-25,39227691395,4853778,1640,137423,major_abroad,1,2482957,action,2,3,PG 12,1,10
엣지 오브 투모로우,2014-06-04,38732961201,4699307,801,94559,major_abroad,1,2550424,action,2,3,PG 12,1,6
월드 워 Z,2013-06-20,38555356000,5237525,964,100823,major_domestic,0,2864863,drama,4,2,PG 15,0,6
인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,major_abroad,1,4969735,animation,6,3,G_rated,2,7
주토피아,2016-02-17,37096057742,4706158,735,131005,major_abroad,1,4706158,animation,6,3,G_rated,2,2
어메이징 스파이더맨 2,2014-04-23,34869101800,4168353,1312,91715,major_abroad,1,4510738,action,2,2,PG 12,1,4
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,4313871,1056,82722,etc_distributor,2,2233161,sf,7,3,PG 12,1,5
해리포터와 죽음의 성물2,2011-07-13,34507600000,4400270,757,70380,major_abroad,1,2946451,adventure,8,3,G_rated,2,7
데드풀 2,2018-05-16,34185664639,3784602,1576,113288,etc_distributor,2,3586444,sf,7,3,PG 12,1,5
베놈,2018-10-03,34100211207,3888096,1308,116149,etc_distributor,2,3888096,action,2,2,PG 15,0,10
매드 맥스: 분노의 도로,2015-05-14,32912842162,3843343,799,98824,major_abroad,1,3843343,action,2,3,PG 15,0,5
아이언맨 2,2010-04-29,32635195500,4425003,921,87665,major_domestic,0,3141537,sf,7,3,PG 12,1,4
분노의 질주: 홉스&쇼,2019-08-14,32241767793,3657536,1311,94896,major_abroad,1,3586444,action,2,3,PG 12,1,8
캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385,3963251,1106,110109,major_abroad,1,3963251,action,2,3,PG 15,0,3
혹성탈출: 반격의 서막,2014-07-10,31514053095,4002560,956,72881,etc_distributor,2,3026937,action,2,3,PG 12,1,7
쿵푸팬더3,2016-01-28,31340798156,3984812,1365,97404,major_domestic,0,4523766,animation,6,3,G_rated,2,1
그래비티,2013-10-17,31214018600,3194693,636,80584,major_abroad,1,1626521,sf,7,2,PG 12,1,10
미이라,2017-06-06,30504689978,3689325,1257,105228,major_abroad,1,3689325,action,2,2,PG 12,1,6
분노의 질주: 더 익스트림,2017-04-12,29981156348,3653238,1469,113241,major_abroad,1,2252577,action,2,3,PG 15,0,4
너의 이름은.,2017-01-04,29251793156,3637608,947,82978,etc_distributor,2,1848288,animation,6,2,PG 12,1,1
토이 스토리 4,2019-06-20,28758452040,3400034,1336,85875,major_abroad,1,3400034,animation,6,3,G_rated,2,6
인턴,2015-09-24,28517727148,3610564,659,81552,major_abroad,1,1922323,comedy,0,2,PG 12,1,9
코코,2018-01-11,27685479440,3510017,1177,85925,major_abroad,1,2484441,animation,6,3,G_rated,2,1
데드풀,2016-02-17,27595618651,3317196,1036,82521,major_abroad,1,3586444,sf,7,3,PG 12,1,2
