moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
극한직업,2019-01-23,139651845516,16265618,2003,292584,major_domestic,0,6834886,comedy,0,3,PG 15,0,1
명량,2014-07-30,135748398910,17613682,1587,188611,major_domestic,0,8982706,etc,1,3,PG 12,1,7
베테랑,2015-08-05,105168155250,13414009,1115,199231,major_domestic,0,7576385,action,2,3,PG 15,0,8
신과함께-인과 연,2018-08-01,102666146909,12274996,2235,179981,major_domestic,0,6491963,fantasy,3,3,PG 12,1,8
택시운전사,2017-08-02,95853645649,12186327,1906,184075,major_domestic,0,6849425,drama,4,3,PG 15,0,8
도둑들,2012-07-25,93664808500,12983178,1091,155392,major_domestic,0,12983178,crime,5,3,PG 15,0,7
부산행,2016-07-20,93178283048,11565479,1788,151315,major_domestic,0,5455944,action,2,3,PG 15,0,7
7번방의 선물,2013-01-23,91431914670,12811206,866,166815,major_domestic,0,4590240,comedy,0,3,PG 15,0,1
"광해, 왕이 된 남자",2012-09-13,88899448769,12319390,1001,203400,major_domestic,0,6423698,drama,4,3,PG 15,0,9
엑시트,2019-07-31,79232012162,9426011,1660,202223,major_domestic,0,9426011,action,2,2,PG 12,1,7
검사외전,2016-02-03,77320403264,9707581,1812,153532,major_domestic,0,9707581,crime,5,2,PG 15,0,2
국제시장,2014-12-17,69841376134,8915904,1044,149061,major_domestic,0,8915904,drama,4,3,PG 12,1,12
설국열차,2013-08-01,67010087500,9349993,1128,124823,major_domestic,0,4788931,sf,7,3,PG 15,0,8
해적: 바다로 간 산적,2014-08-06,66370682706,8666046,910,133350,major_domestic,0,5951226,adventure,8,2,PG 12,1,8
관상,2013-09-11,66005427500,9134581,1240,125073,major_domestic,0,9134581,drama,4,3,PG 15,0,9
공조,2017-01-18,63783051326,7817618,1392,142989,major_domestic,0,4289071,action,2,3,PG 15,0,1
수상한 그녀,2014-01-22,62705348249,8657982,1027,136975,major_domestic,0,5723297,comedy,0,3,PG 15,0,1
밀정,2016-09-07,61269783831,7500420,1444,138161,major_abroad,1,4658741,action,2,2,PG 15,0,9
내부자들,2015-11-19,56465665657,7055332,1129,152265,major_domestic,0,2977866,crime,5,3,X_rated,3,11
럭키,2016-10-13,56444461256,6975290,1234,155977,major_domestic,0,4078625,comedy,0,3,PG 15,0,10
곡성,2016-05-12,55863520382,6879908,1485,130322,etc_distributor,2,4188575,mystery,9,3,PG 15,0,5
최종병기 활,2011-08-10,55827861500,7470633,615,130054,major_domestic,0,7470633,action,2,3,PG 15,0,8
인천상륙작전,2016-07-27,55101410303,7049643,1049,97019,major_domestic,0,5189983,etc,1,3,PG 15,0,7
써니,2011-05-04,54035565100,7362657,546,149135,major_domestic,0,7362657,drama,4,3,PG 15,0,5
베를린,2013-01-30,52355568637,7166290,894,111744,major_domestic,0,7166290,drama,4,3,PG 12,1,1
군함도,2017-07-26,50510565168,6592151,2027,108775,major_domestic,0,7576385,action,2,3,PG 15,0,7
은밀하게 위대하게,2013-06-05,48700887413,6959083,1341,117461,major_domestic,0,6959083,action,2,3,PG 15,0,6
신과함께-죄와 벌,2017-12-20,47355583705,5872007,1644,121961,major_domestic,0,6491963,fantasy,3,3,PG 12,1,12
아저씨,2010-08-04,47101332000,6178248,501,109853,major_domestic,0,2347992,action,2,2,X_rated,3,8
늑대소년,2012-10-31,46590107000,6654390,854,109069,major_domestic,0,2833113,romance,10,2,PG 15,0,10
안시성,2018-09-19,46335334026,5440186,1540,110439,major_domestic,0,2450084,action,2,3,PG 12,1,9
연평해전,2015-06-24,45563228330,6043784,1013,114450,major_domestic,0,6043784,drama,4,3,PG 12,1,6
덕혜옹주,2016-08-03,44393828109,5599229,964,97312,major_domestic,0,3317126,etc,1,2,PG 12,1,8
청년경찰,2017-08-09,44381150516,5653270,1102,118544,major_domestic,0,5653270,action,2,2,PG 15,0,8
완벽한 타인,2018-10-31,44350807074,5293435,1325,143055,major_domestic,0,4571493,drama,4,3,PG 15,0,10
더 킹,2017-01-18,43488814535,5317693,1310,107983,major_domestic,0,5317693,etc,1,2,PG 15,0,1
독전,2018-05-22,43485551113,5063684,1532,140007,major_domestic,0,2710049,crime,5,3,PG 15,0,5
1987,2017-12-27,42915772108,5290310,1122,110607,major_domestic,0,3842381,drama,4,3,PG 15,0,12
공작,2018-08-08,42788851176,4974520,1317,99001,major_domestic,0,2738003,crime,5,3,PG 15,0,8
검은 사제들,2015-11-05,42405282092,5442128,1109,131155,major_domestic,0,5442128,fear,12,2,PG 15,0,11
변호인,2013-12-18,41918383800,5687571,925,97261,major_domestic,0,2639183,drama,4,3,PG 15,0,12
남산의 부장들,2020-01-22,41225216650,4750345,1659,140051,major_domestic,0,2977866,drama,4,3,PG 15,0,1
봉오동 전투,2019-08-07,40588648538,4787538,1476,107030,major_domestic,0,3723063,action,2,3,PG 15,0,8
의형제,2010-02-04,40153729000,5416812,569,118243,major_domestic,0,6849425,action,2,2,PG 15,0,2
마스터,2016-12-21,39784641065,4935320,1501,70786,major_domestic,0,4935320,comedy,0,3,PG 15,0,12
숨바꼭질,2013-08-14,39602977500,5604103,779,88062,major_domestic,0,5604103,thriller,11,3,X_rated,3,8
나쁜 녀석들: 더 무비,2019-09-11,39560195124,4573902,1511,113938,major_domestic,0,2714941,crime,5,3,PG 15,0,9
히말라야,2015-12-16,39469775448,5129409,1095,81042,major_domestic,0,5951226,drama,4,2,PG 12,1,12
감시자들,2013-07-03,39380162179,5508017,949,100309,major_domestic,0,5508017,crime,5,3,PG 15,0,7
다만 악에서 구하소서,2020-08-05,38602260990,4357803,1998,193842,major_domestic,0,4357803,crime,5,3,PG 15,0,8
완득이,2011-10-20,38526161500,5309928,629,117763,major_domestic,0,3154621,drama,4,2,PG 12,1,10
군도: 민란의 시대,2014-07-23,36988022499,4774931,1394,67237,major_domestic,0,4747401,action,2,2,PG 15,0,7
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,4719872,713,91889,major_domestic,0,4747401,crime,5,2,X_rated,3,2
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,35841769500,4786259,634,84189,major_domestic,0,3700803,comedy,0,3,PG 12,1,1
도가니,2011-09-22,35566854800,4662822,756,88337,major_domestic,0,5723297,drama,4,2,X_rated,3,9
아가씨,2016-06-01,35211229991,4287839,1171,90365,major_domestic,0,4287839,thriller,11,3,X_rated,3,6
신세계,2013-02-21,34881330905,4682492,671,90580,major_domestic,0,3081633,crime,5,3,X_rated,3,2
바람과 함께 사라지다,2012-08-08,34614661161,4909937,694,78591,major_domestic,0,2773699,comedy,0,3,PG 12,1,8
내 아내의 모든 것,2012-05-17,34223620500,4598821,563,91773,major_domestic,0,1590719,romance,10,3,PG 15,0,5
판도라,2016-12-07,33955398164,4313864,1184,90758,major_domestic,0,4414848,drama,4,3,PG 12,1,12
반도,2020-07-15,33072531280,3812250,2575,199048,major_domestic,0,5455944,action,2,2,PG 15,0,7
암수살인,2018-10-03,32995138548,3789321,1177,126127,major_domestic,0,2060633,crime,5,2,PG 15,0,10
타짜-신의 손,2014-09-03,32373120927,4015361,890,80584,major_domestic,0,2637086,drama,4,3,X_rated,3,9
연가시,2012-07-05,32175400664,4515833,759,71928,major_domestic,0,4414848,drama,4,3,PG 15,0,7
꾼,2017-11-22,31312029795,4018035,1314,117398,major_domestic,0,4018035,crime,5,3,PG 15,0,11
남한산성,2017-10-03,31225083792,3849087,1229,71101,major_domestic,0,5723297,drama,4,3,PG 15,0,10
국가부도의 날,2018-11-28,30845862137,3747952,1180,100804,major_domestic,0,2253073,drama,4,3,PG 12,1,11
조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,3872015,825,80499,major_domestic,0,3700803,comedy,0,3,PG 12,1,2
82년생 김지영,2019-10-23,30298542310,3678156,1486,145441,major_domestic,0,3678156,drama,4,2,PG 12,1,10
건축학개론,2012-03-22,30222696000,4111068,593,106067,major_domestic,0,4111068,romance,10,3,PG 12,1,3
댄싱퀸,2012-01-18,30130775500,4058225,544,80987,major_domestic,0,5951226,comedy,0,2,PG 12,1,1
역린,2014-04-30,29894266890,3849552,1054,83296,major_domestic,0,4571493,drama,4,3,PG 15,0,4
악인전,2019-05-15,29133760150,3364712,1307,97351,etc_distributor,2,1873097,crime,5,3,X_rated,3,5
돈,2019-03-20,28870244062,3389125,1431,120809,major_domestic,0,1917918,comedy,0,3,PG 15,0,3
신의 한 수,2014-07-03,28812027456,3566852,794,77109,major_domestic,0,2862144,crime,5,3,PG 15,0,7
박수건달,2013-01-09,28343986569,3893216,603,60585,major_domestic,0,3893216,comedy,0,3,PG 15,0,1
그것만이 내 세상,2018-01-17,27450805382,3419339,956,95431,major_domestic,0,2154087,comedy,0,3,PG 12,1,1
귀향,2016-02-24,27249738990,3587173,876,90286,etc_distributor,2,1834886,drama,4,3,PG 15,0,2
마녀,2018-06-27,27242029463,3189091,1117,90843,major_abroad,1,3081633,mystery,9,3,PG 15,0,6
끝까지 간다,2014-05-29,27007303900,3450305,645,84875,major_domestic,0,4289071,crime,5,2,PG 15,0,5
탐정: 리턴즈,2018-06-13,26909459678,3152872,1137,107907,major_domestic,0,2152990,comedy,0,3,PG 15,0,6
전우치,2009-12-23,26345113000,3611472,556,73175,major_domestic,0,3611472,drama,4,3,PG 15,0,12
부러진 화살,2012-01-18,25878629500,3451025,530,71560,major_domestic,0,2087528,drama,4,3,PG 15,0,1
아이 캔 스피크,2017-09-21,25526451186,3279296,1140,93012,major_domestic,0,2137558,drama,4,2,PG 12,1,9
이끼,2010-07-14,25437300500,3350303,740,58198,major_domestic,0,1989220,drama,4,4,X_rated,3,7
가장 보통의 연애,2019-10-02,24885803430,2924563,1073,111527,major_domestic,0,2924563,romance,10,2,PG 15,0,10
포화속으로,2010-06-16,23831958600,3330324,742,80091,major_domestic,0,5189983,etc,1,6,PG 12,1,6
프리즌,2017-03-23,23790276987,2931897,1047,89024,major_domestic,0,2931897,adventure,8,3,PG 15,0,3
말모이,2019-01-09,23685091520,2812877,1203,87591,major_domestic,0,2812877,drama,4,2,PG 12,1,1
