moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
아바타,2009-12-17,81455728000,8151952,714,111860,abroad,1,3721359,sf,7,3,PG 12,1,12
스파이더맨: 파 프롬 홈,2019-07-02,69010000100,8021145,2142,180474,abroad,1,5866190,action,2,3,PG 12,1,7
스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,abroad,1,5866190,action,2,2,PG 12,1,7
곡성,2016-05-12,55863520382,6879908,1485,130322,domestic,0,4188575,mystery,9,3,PG 15,0,5
킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,728,139988,abroad,1,4536339,action,2,3,X_rated,3,2
어메이징 스파이더맨,2012-06-28,41163951235,4853123,1118,92755,abroad,1,4510738,action,2,2,PG 12,1,6
킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687,95922,abroad,1,4536339,action,2,3,X_rated,3,9
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,4313871,1056,82722,abroad,1,2233161,sf,7,3,PG 12,1,5
데드풀 2,2018-05-16,34185664639,3784602,1576,113288,abroad,1,3586444,sf,7,3,PG 12,1,5
베놈,2018-10-03,34100211207,3888096,1308,116149,abroad,1,3888096,action,2,2,PG 15,0,10
혹성탈출: 반격의 서막,2014-07-10,31514053095,4002560,956,72881,abroad,1,3026937,action,2,3,PG 12,1,7
너의 이름은.,2017-01-04,29251793156,3637608,947,82978,abroad,1,1848288,animation,6,2,PG 12,1,1
악인전,2019-05-15,29133760150,3364712,1307,97351,domestic,0,1873097,crime,5,3,X_rated,3,5
맨 인 블랙 3,2012-05-24,27301520070,3379762,770,69538,abroad,1,3379762,action,2,3,PG 12,1,5
캐리비안의 해적: 낯선 조류,2011-05-19,27279967500,3130046,960,67036,abroad,1,1223870,fantasy,3,3,PG 12,1,5
귀향,2016-02-24,27249738990,3587173,876,90286,domestic,0,1834886,drama,4,3,PG 15,0,2
비긴 어게인,2014-08-13,27098834504,3427524,525,82684,abroad,1,1994157,drama,4,3,PG 15,0,8
리얼 스틸,2011-10-12,26566677000,3579666,603,87650,abroad,1,2340672,action,2,3,PG 12,1,10
서치,2018-08-29,25283364845,2949944,1097,95758,abroad,1,2949944,thriller,11,3,PG 15,0,8
엑스맨: 아포칼립스,2016-05-25,24467887950,2938818,1262,66471,abroad,1,2233161,action,2,3,PG 12,1,5
너의 결혼식,2018-08-22,23676244369,2820969,970,98193,domestic,0,2820969,romance,10,2,PG 12,1,8
미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904,70451,abroad,1,1215268,fantasy,3,3,PG 12,1,9
감기,2013-08-14,21774884000,3117859,806,55046,domestic,0,3117859,drama,4,3,PG 15,0,8
메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804,58725,abroad,1,2618857,action,2,3,PG 12,1,9
메이즈 러너,2014-09-18,21489367677,2812427,655,71048,abroad,1,2618857,action,2,3,PG 12,1,9
솔트,2010-07-29,21360288000,2869938,556,53679,abroad,1,2869938,action,2,1,PG 15,0,7
26년,2012-11-29,21111878145,2940475,611,50044,domestic,0,1678389,action,2,3,PG 15,0,11
블랙머니,2019-11-13,20863134010,2478964,1141,77469,domestic,0,2087528,crime,5,2,PG 12,1,11
혹성탈출: 진화의 시작,2011-08-17,20629757000,2773794,514,61229,abroad,1,2773794,action,2,3,PG 12,1,8
재심,2017-02-15,19266319637,2421197,935,68402,domestic,0,1174004,drama,4,3,PG 15,0,2
엑스맨: 퍼스트 클래스,2011-06-02,19075363000,2533852,587,56827,abroad,1,4536339,sf,7,3,PG 12,1,6
메이즈 러너: 데스 큐어,2018-01-17,18902873104,2299732,1090,58918,abroad,1,2618857,action,2,3,PG 12,1,1
화차,2012-03-08,18459428000,2436438,548,62643,domestic,0,2436438,mystery,9,3,PG 15,0,3
스파이,2015-05-21,18417637358,2318748,665,62960,abroad,1,5866190,action,2,3,PG 12,1,5
박열,2017-06-28,18093639795,2359206,1176,78499,domestic,0,1424759,drama,4,3,PG 12,1,6
명당,2018-09-19,17900775524,2087474,1117,58450,domestic,0,1391393,etc,1,3,PG 12,1,9
테이큰 2,2012-09-27,17581098553,2308596,682,51344,abroad,1,1589298,action,2,3,X_rated,3,9
하녀,2010-05-13,17038639000,2267556,555,59621,domestic,0,2267556,thriller,11,3,X_rated,3,5
혹성탈출: 종의 전쟁,2017-08-15,16854482778,2051315,1017,44543,abroad,1,3026937,action,2,3,PG 12,1,8
나잇&데이,2010-06-24,16777869600,2243484,494,54797,abroad,1,2243484,comedy,0,1,X_rated,3,6
나의 사랑 나의 신부,2014-10-08,16636404305,2141155,629,69681,domestic,0,2141155,romance,10,2,PG 15,0,10
걸리버 여행기,2011-01-27,16441365500,1762071,527,41181,abroad,1,1224440,adventure,8,3,G_rated,2,1
내안의 그놈,2019-01-09,16302228567,1902828,1041,61683,domestic,0,1368505,fantasy,3,3,PG 15,0,1
레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,2007188,967,55063,abroad,1,2007188,adventure,8,3,PG 15,0,1
라이프 오브 파이,2013-01-01,15812506500,1588373,392,32722,abroad,1,987857,adventure,8,2,G_rated,2,1
변신,2019-08-21,15417922925,1804112,975,63211,domestic,0,1804112,fear,12,2,PG 15,0,8
테이큰 3,2015-01-01,15088105000,1860934,616,38060,abroad,1,1589298,action,2,3,PG 15,0,1
노무현입니다,2017-05-25,14556517612,1855149,775,61327,domestic,0,1855149,etc,1,1,PG 12,1,5
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14533948000,1190008,337,37849,abroad,1,845717,action,2,1,X_rated,3,9
페르시아의 왕자: 시간의 모래,2010-05-27,14483501000,1970823,567,51307,abroad,1,1970823,action,2,3,PG 12,1,5
토이 스토리 3,2010-08-05,14319338600,1458865,393,28615,abroad,1,2484441,animation,6,3,G_rated,2,8
킬러의 보디가드,2017-08-30,14020395800,1721757,482,42002,abroad,1,1056097,action,2,3,PG 15,0,8
쥬만지: 새로운 세계,2018-01-03,13814824864,1708672,791,41806,abroad,1,1381817,action,2,3,PG 12,1,1
이미테이션 게임,2015-02-17,13655929120,1743963,541,44782,abroad,1,1206269,drama,4,3,PG 15,0,2
제보자,2014-10-02,13515762802,1755181,676,58358,domestic,0,1294037,drama,4,3,PG 12,1,10
퍼시 잭슨과 번개 도둑,2010-02-11,13158158500,1846180,334,43667,abroad,1,932025,fantasy,3,3,PG 12,1,2
도어락,2018-12-05,12792097886,1559616,954,53732,domestic,0,1559616,thriller,11,3,PG 15,0,12
인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926,47432,abroad,1,965055,action,2,3,PG 12,1,6
블랙 스완,2011-02-24,12484661500,1623310,344,46840,abroad,1,1623310,fear,12,3,X_rated,3,2
엑소더스: 신들과 왕들,2014-12-03,12442681926,1511195,865,43742,abroad,1,1263301,drama,4,2,PG 12,1,12
아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,1648110,501,26899,abroad,1,1648110,animation,6,3,G_rated,2,7
공모자들,2012-08-29,12240964500,1646142,496,44959,domestic,0,959726,crime,5,3,X_rated,3,8
차이나타운,2015-04-29,11990370378,1472106,551,45137,domestic,0,1649509,crime,5,3,X_rated,3,4
리틀 포레스트,2018-02-28,11929202185,1506269,884,68414,domestic,0,1506269,drama,4,3,PG 12,1,2
부라더,2017-11-02,11783109998,1492903,889,54975,domestic,0,1492903,drama,4,2,X_rated,3,11
우아한 거짓말,2014-03-13,11728460300,1619188,573,57492,domestic,0,3154621,drama,4,3,PG 12,1,3
오케이 마담,2020-08-12,10981600110,1228968,1288,82969,domestic,0,1146205,comedy,0,3,PG 15,0,8
나니아 연대기: 새벽 출정호의 항해,2010-12-08,10889884000,1140201,493,32481,abroad,1,1140201,fantasy,3,3,G_rated,2,12
다이하드: 굿 데이 투 다이,2013-02-06,10825703000,1438056,459,33055,abroad,1,1438056,action,2,3,PG 15,0,2
에이리언: 커버넌트,2017-05-09,10745826264,1307226,841,41761,abroad,1,1263301,sf,7,2,PG 15,0,5
사라진 밤,2018-03-07,10697981316,1315726,925,60087,domestic,0,1315726,thriller,11,3,PG 15,0,3
기억의 밤,2017-11-29,10646654660,1386611,759,52847,domestic,0,1386611,mystery,9,2,PG 15,0,11
구르믈 버서난 달처럼,2010-04-28,10241716500,1383867,506,48314,domestic,0,1424759,drama,4,3,PG 15,0,4
유열의 음악앨범,2019-08-28,10233455040,1245532,1078,59626,domestic,0,1295945,romance,10,2,PG 12,1,8
라푼젤,2011-02-10,10161464800,1011163,328,22107,abroad,1,1011163,animation,6,2,G_rated,2,2
해치지않아,2020-01-15,10154099090,1209689,1216,53441,domestic,0,903270,comedy,0,3,PG 12,1,1
런닝맨,2013-04-04,10060239500,1422844,567,45995,domestic,0,1422844,animation,6,3,G_rated,2,4
셜록: 유령신부,2016-01-02,9992425049,1278894,891,32683,abroad,1,1278894,crime,5,2,PG 12,1,1
월드 인베이젼,2011-03-10,9799358000,1307873,441,44241,abroad,1,1100450,action,2,3,PG 12,1,3
롱 리브 더 킹: 목포 영웅,2019-06-19,9228798910,1094404,965,38839,domestic,0,1094404,action,2,3,PG 15,0,6
메리다와 마법의 숲,2012-09-27,9024766000,1231024,479,22087,abroad,1,1231024,animation,6,3,G_rated,2,9
토탈 리콜,2012-08-15,8958236000,1219637,448,27089,abroad,1,1219637,action,2,3,PG 15,0,8
슬로우 비디오,2014-10-02,8913092219,1169562,618,40665,domestic,0,1262896,drama,4,2,PG 12,1,10
동주,2016-02-17,8889077089,1172641,543,39958,domestic,0,1424759,drama,4,3,PG 12,1,2
미씽: 사라진 여자,2016-11-30,8881616256,1153109,790,40617,domestic,0,2152990,mystery,9,2,PG 15,0,11
"날, 보러와요",2016-04-07,8836144063,1063442,683,49237,domestic,0,1146205,mystery,9,3,X_rated,3,4
쥬만지: 넥스트 레벨,2019-12-11,8774663410,1054963,1195,42083,abroad,1,1381817,action,2,3,PG 12,1,12
프로메테우스,2012-06-06,8600146099,971482,521,31629,abroad,1,1263301,sf,7,3,X_rated,3,6
용서는 없다,2010-01-07,8544828000,1118277,323,33614,domestic,0,1182231,crime,5,6,X_rated,3,1
결혼전야,2013-11-21,8434175719,1212843,524,38819,domestic,0,1168829,romance,10,3,PG 15,0,11
존 윅 3: 파라벨룸,2019-06-26,8205015858,1004365,849,29819,abroad,1,1004365,action,2,1,X_rated,3,6
박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,1101678,500,30146,abroad,1,2340672,adventure,8,3,G_rated,2,1
그놈이다,2015-10-28,8096427152,1046015,681,38678,domestic,0,1046015,thriller,11,3,PG 15,0,10
베스트셀러,2010-04-15,7983184500,1081752,308,41064,domestic,0,1035829,mystery,9,1,PG 15,0,4
몬스터 호텔 3,2018-08-08,7934082800,1072220,715,21247,abroad,1,973291,animation,6,2,G_rated,2,8
1917,2020-02-19,7924722960,877017,932,91511,abroad,1,1691307,drama,4,2,PG 15,0,2
나랏말싸미,2019-07-24,7871240823,958775,1211,39206,domestic,0,958775,drama,4,3,G_rated,2,7
결백,2020-06-10,7859629340,894025,1112,74532,domestic,0,894025,drama,4,3,PG 15,0,6
더 울버린,2013-07-25,7849518000,1075333,707,26905,abroad,1,619031,sf,7,1,PG 15,0,7
개구쟁이 스머프,2011-08-11,7722519000,1027436,399,18225,abroad,1,974612,animation,6,3,G_rated,2,8
파괴된 사나이,2010-07-01,7692092100,1012310,363,31985,domestic,0,2977866,thriller,11,3,X_rated,3,7
엑스맨: 다크 피닉스,2019-06-05,7649216640,862744,991,29386,abroad,1,862744,action,2,3,PG 12,1,6
갓 오브 이집트,2016-03-03,7621291624,919834,618,35323,abroad,1,919834,adventure,8,3,PG 12,1,3
"님아, 그 강을 건너지 마오",2014-11-27,7510901600,955433,486,26199,domestic,0,955433,etc,1,2,G_rated,2,11
월요일이 사라졌다,2018-02-22,7489885100,903175,381,24247,abroad,1,586342,action,2,3,PG 15,0,2
미쓰 와이프,2015-08-13,7387086869,988451,437,28864,domestic,0,1368505,comedy,0,2,PG 15,0,8
스텝 업 3D,2010-08-05,7345439000,671845,250,14805,abroad,1,1875958,drama,4,3,PG 12,1,8
작은 아씨들,2020-02-12,7283877330,864782,1105,59781,abroad,1,864782,drama,4,3,G_rated,2,2
존 카터: 바숨 전쟁의 서막,2012-03-08,7229870500,838126,508,30760,abroad,1,1719930,sf,7,3,PG 12,1,3
미드웨이,2019-12-31,7143163010,824836,842,32902,abroad,1,965055,action,2,3,PG 15,0,12
파퍼씨네 펭귄들,2011-09-07,7049177000,980387,333,26307,abroad,1,980387,comedy,0,3,G_rated,2,9
방가? 방가!,2010-09-30,7013842000,972431,312,41556,domestic,0,1225293,comedy,0,3,PG 12,1,9
살인의뢰,2015-03-12,6986456737,855980,646,35244,domestic,0,2714941,crime,5,3,X_rated,3,3
돈 크라이 마미,2012-11-22,6798882099,972962,444,29539,domestic,0,972962,thriller,11,3,PG 15,0,11
에픽 : 숲속의 전설,2013-08-07,6748072000,978785,471,18377,abroad,1,978785,animation,6,3,G_rated,2,8
투어리스트,2010-12-09,6728872000,901843,418,26842,abroad,1,901843,action,2,2,PG 15,0,12
베이비 드라이버,2017-09-14,6699906214,822769,778,40531,abroad,1,822769,action,2,3,PG 15,0,9
디스 민즈 워,2012-02-29,6661435000,873396,351,32790,abroad,1,873396,action,2,3,PG 15,0,2
오리엔트 특급 살인,2017-11-29,6636205163,863567,707,35031,abroad,1,961906,drama,4,3,PG 12,1,11
스카이 라인,2010-11-24,6320601500,860340,427,31690,abroad,1,860340,sf,7,2,PG 12,1,11
대립군,2017-05-31,6276963402,837500,809,29084,domestic,0,837500,drama,4,3,PG 15,0,5
월터의 상상은 현실이 된다,2013-12-31,6134220799,834348,373,22938,abroad,1,834348,adventure,8,3,PG 12,1,12
스플릿,2016-11-09,6102712539,758195,702,32616,domestic,0,2253073,drama,4,3,PG 15,0,11
미쓰백,2018-10-11,6040344066,722182,671,41961,domestic,0,722182,drama,4,3,PG 15,0,10
그랜드 부다페스트 호텔,2014-03-20,6019756082,774699,241,26377,abroad,1,774699,mystery,9,3,PG 15,0,3
킹스 스피치,2011-03-17,5963126500,806248,327,33979,abroad,1,806248,drama,4,3,PG 12,1,3
카트,2014-11-13,5912676633,812490,544,28547,domestic,0,812490,drama,4,3,PG 12,1,11
런던 해즈 폴른,2016-03-10,5908367979,731584,526,37569,abroad,1,731584,action,2,3,PG 15,0,3
"안녕, 헤이즐",2014-08-13,5833905000,749146,326,17946,abroad,1,405521,drama,4,3,PG 12,1,8
A-특공대,2010-06-10,5795794000,777985,323,26460,abroad,1,777985,action,2,3,PG 15,0,6
리오 2,2014-05-01,5669231900,765961,598,14929,abroad,1,648296,animation,6,3,G_rated,2,5
피라냐,2010-08-26,5661671000,505836,310,22744,abroad,1,505836,fear,12,3,PG 15,0,8
국가대표 2,2016-08-10,5482232042,709929,562,20689,domestic,0,709929,drama,4,3,PG 12,1,8
지푸라기라도 잡고 싶은 짐승들,2020-02-19,5457014750,628977,996,65645,domestic,0,628977,crime,5,3,X_rated,3,2
하늘에서 음식이 내린다면,2010-02-11,5413862500,654510,282,16556,abroad,1,726180,animation,6,3,G_rated,2,2
주유소 습격사건 2,2010-01-21,5379208500,729834,315,27844,domestic,0,729834,comedy,0,3,PG 15,0,1
스파이더맨: 뉴 유니버스,2018-12-12,5305289076,639934,722,22113,abroad,1,639934,animation,6,3,PG 12,1,12
미스터 주: 사라진 VIP,2020-01-22,5071671660,603203,692,28187,domestic,0,1174004,comedy,0,3,PG 12,1,1
아빠는 딸,2017-04-12,5054757395,647305,586,33263,domestic,0,647305,comedy,0,2,PG 12,1,4
리오,2011-07-27,5021719500,645151,333,13781,abroad,1,648296,animation,6,3,G_rated,2,7
이스케이프 룸,2019-03-14,5007420664,563114,850,29219,abroad,1,558817,action,2,2,PG 15,0,3
아이 엠 넘버 포,2011-02-24,4955215500,654386,284,22145,abroad,1,564847,action,2,3,PG 12,1,2
나쁜 녀석들: 포에버,2020-01-15,4880576760,547775,896,29888,abroad,1,547775,action,2,2,X_rated,3,1
생텀,2011-02-10,4828519000,465039,323,16998,abroad,1,465039,action,2,3,PG 15,0,2
침입자,2020-06-04,4810611000,532045,1365,53636,domestic,0,532045,mystery,9,2,PG 15,0,6
아더 크리스마스,2011-11-25,4771040500,620995,356,14606,abroad,1,620995,animation,6,3,G_rated,2,11
레지던트 이블 5 : 최후의 심판,2012-09-13,4757460500,558433,368,24599,abroad,1,845717,action,2,1,X_rated,3,9
황제를 위하여,2014-06-11,4754501771,592435,423,26736,domestic,0,592435,action,2,3,X_rated,3,6
버닝,2018-05-17,4716771098,528435,739,26514,domestic,0,528435,mystery,9,3,X_rated,3,5
47 미터,2017-07-19,4686079657,590045,733,20457,abroad,1,545989,fear,12,3,PG 15,0,7
머니볼,2011-11-17,4677562000,641099,385,21961,abroad,1,641099,drama,4,1,PG 12,1,11
인 타임,2011-10-27,4579554500,616943,304,21836,abroad,1,616943,action,2,3,PG 12,1,10
양자물리학,2019-09-25,4536436380,554939,799,25296,domestic,0,554939,crime,5,3,PG 15,0,9
애드 아스트라,2019-09-19,4518393460,513375,853,27816,abroad,1,513375,sf,7,1,PG 12,1,9
더 울프 오브 월스트리트,2014-01-09,4490682000,585082,395,13735,abroad,1,787652,comedy,0,3,X_rated,3,1
싱 스트리트,2016-05-19,4489637672,560790,494,22825,abroad,1,1994157,drama,4,3,PG 15,0,5
타이타닉,1998-02-20,4473640500,369643,272,10365,abroad,1,3721359,romance,10,2,PG 15,0,2
그린 존,2010-03-25,4460075000,596403,268,27563,abroad,1,1604184,action,2,2,PG 15,0,3
메카닉: 리크루트,2016-08-31,4458200800,551897,320,17497,abroad,1,551897,action,2,3,PG 15,0,8
타잔 3D,2014-01-09,4452845000,597142,527,12994,abroad,1,448385,animation,6,2,G_rated,2,1
"그날, 바다",2018-04-12,4446000528,540631,643,30376,domestic,0,540631,etc,1,1,PG 15,0,4
스텝 업: 올 인,2014-09-03,4337490134,564589,325,15372,abroad,1,564589,drama,4,3,PG 12,1,9
인시디어스4: 라스트 키,2018-01-31,4301309864,554521,769,23869,abroad,1,558817,fear,12,3,PG 15,0,1
이층의 악당,2010-11-24,4271750500,596851,379,26998,domestic,0,903270,comedy,0,2,PG 15,0,11
