moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
어벤져스: 엔드게임,2019-04-24,122182694160,13934592,2835,242001,abroad,1,10224854,action,2,3,PG 12,1,4
어벤져스: 인피니티 워,2018-04-25,99926399769,11212710,2553,240501,abroad,1,10224854,action,2,3,PG 12,1,4
어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843,191778,abroad,1,10494499,action,2,3,PG 12,1,4
겨울왕국,2014-01-16,82461504400,10296101,1010,157683,abroad,1,5337414,animation,6,2,G_rated,2,1
인터스텔라,2014-11-06,80671424300,10105247,1410,166218,abroad,1,3583005,sf,7,3,PG 12,1,11
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,abroad,1,10224854,action,2,3,PG 12,1,4
아이언맨 3,2013-04-25,70806364000,9001331,1389,163584,abroad,1,9001331,sf,7,3,PG 12,1,4
밀정,2016-09-07,61269783831,7500420,1444,138161,domestic,0,4658741,action,2,2,PG 15,0,9
어벤져스,2012-04-26,59557853478,7074867,967,109697,abroad,1,10224854,action,2,3,PG 12,1,4
캡틴 마블,2019-03-06,51507488723,5802810,2100,186382,abroad,1,5802810,action,2,3,PG 12,1,3
쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,5661128,1972,144779,abroad,1,3141916,action,2,2,PG 12,1,6
다크 나이트 라이즈,2012-07-19,47644838000,6396528,1210,81254,abroad,1,3583005,action,2,3,PG 15,0,7
앤트맨과 와스프,2018-07-04,47468053685,5448134,1775,148244,abroad,1,4144964,action,2,3,PG 12,1,7
블랙 팬서,2018-02-14,45885123957,5399227,1620,119170,abroad,1,5399227,action,2,1,PG 12,1,2
조커,2019-10-02,45381075450,5247874,1418,147380,abroad,1,5247874,thriller,11,1,PG 15,0,10
라이온 킹,2019-07-17,41519457430,4743264,1936,126496,abroad,1,3141537,adventure,8,3,G_rated,2,7
마션,2015-10-08,39663145295,4880800,1132,114183,abroad,1,4880800,sf,7,1,PG 12,1,10
신비한 동물사전,2016-11-16,39300515858,4662534,1431,115676,abroad,1,2946451,fantasy,3,3,PG 12,1,11
토르: 라그나로크,2017-10-25,39227691395,4853778,1640,137423,abroad,1,2482957,action,2,3,PG 12,1,10
엣지 오브 투모로우,2014-06-04,38732961201,4699307,801,94559,abroad,1,2550424,action,2,3,PG 12,1,6
인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,abroad,1,4969735,animation,6,3,G_rated,2,7
