moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,openingmonth
극한직업,2019-01-23,139651845516,16265618,2003,292584,domestic,0,major_domestic,0,6834886,comedy,0,3,1
베테랑,2015-08-05,105168155250,13414009,1115,199231,domestic,0,major_domestic,0,7576385,action,2,3,8
택시운전사,2017-08-02,95853645649,12186327,1906,184075,domestic,0,major_domestic,0,6849425,drama,4,3,8
도둑들,2012-07-25,93664808500,12983178,1091,155392,domestic,0,major_domestic,0,12983178,crime,5,3,7
부산행,2016-07-20,93178283048,11565479,1788,151315,domestic,0,major_domestic,0,5455944,action,2,3,7
7번방의 선물,2013-01-23,91431914670,12811206,866,166815,domestic,0,major_domestic,0,4590240,comedy,0,3,1
"광해, 왕이 된 남자",2012-09-13,88899448769,12319390,1001,203400,domestic,0,major_domestic,0,6423698,drama,4,3,9
검사외전,2016-02-03,77320403264,9707581,1812,153532,domestic,0,major_domestic,0,9707581,crime,5,2,2
설국열차,2013-08-01,67010087500,9349993,1128,124823,domestic,0,major_domestic,0,4788931,sf,7,3,8
관상,2013-09-11,66005427500,9134581,1240,125073,domestic,0,major_domestic,0,9134581,drama,4,3,9
공조,2017-01-18,63783051326,7817618,1392,142989,domestic,0,major_domestic,0,4289071,action,2,3,1
수상한 그녀,2014-01-22,62705348249,8657982,1027,136975,domestic,0,major_domestic,0,5723297,comedy,0,3,1
밀정,2016-09-07,61269783831,7500420,1444,138161,domestic,0,major_abroad,1,4658741,action,2,2,9
럭키,2016-10-13,56444461256,6975290,1234,155977,domestic,0,major_domestic,0,4078625,comedy,0,3,10
미션 임파서블: 폴아웃,2018-07-25,55888375112,6584915,1957,101374,abroad,1,major_domestic,0,6355701,action,2,3,7
곡성,2016-05-12,55863520382,6879908,1485,130322,domestic,0,etc_distributor,2,4188575,mystery,9,3,5
최종병기 활,2011-08-10,55827861500,7470633,615,130054,domestic,0,major_domestic,0,7470633,action,2,3,8
인천상륙작전,2016-07-27,55101410303,7049643,1049,97019,domestic,0,major_domestic,0,5189983,etc,1,3,7
써니,2011-05-04,54035565100,7362657,546,149135,domestic,0,major_domestic,0,7362657,drama,4,3,5
군함도,2017-07-26,50510565168,6592151,2027,108775,domestic,0,major_domestic,0,7576385,action,2,3,7
은밀하게 위대하게,2013-06-05,48700887413,6959083,1341,117461,domestic,0,major_domestic,0,6959083,action,2,3,6
미션 임파서블: 로그네이션,2015-07-30,48547353607,6126488,1202,89682,abroad,1,major_domestic,0,6355701,action,2,3,7
다크 나이트 라이즈,2012-07-19,47644838000,6396528,1210,81254,abroad,1,major_abroad,1,3583005,action,2,3,7
늑대소년,2012-10-31,46590107000,6654390,854,109069,domestic,0,major_domestic,0,2833113,romance,10,2,10
조커,2019-10-02,45381075450,5247874,1418,147380,abroad,1,major_abroad,1,5247874,thriller,11,1,10
청년경찰,2017-08-09,44381150516,5653270,1102,118544,domestic,0,major_domestic,0,5653270,action,2,2,8
완벽한 타인,2018-10-31,44350807074,5293435,1325,143055,domestic,0,major_domestic,0,4571493,drama,4,3,10
더 킹,2017-01-18,43488814535,5317693,1310,107983,domestic,0,major_domestic,0,5317693,etc,1,2,1
독전,2018-05-22,43485551113,5063684,1532,140007,domestic,0,major_domestic,0,2710049,crime,5,3,5
1987,2017-12-27,42915772108,5290310,1122,110607,domestic,0,major_domestic,0,3842381,drama,4,3,12
공작,2018-08-08,42788851176,4974520,1317,99001,domestic,0,major_domestic,0,2738003,crime,5,3,8
검은 사제들,2015-11-05,42405282092,5442128,1109,131155,domestic,0,major_domestic,0,5442128,fear,12,2,11
변호인,2013-12-18,41918383800,5687571,925,97261,domestic,0,major_domestic,0,2639183,drama,4,3,12
남산의 부장들,2020-01-22,41225216650,4750345,1659,140051,domestic,0,major_domestic,0,2977866,drama,4,3,1
봉오동 전투,2019-08-07,40588648538,4787538,1476,107030,domestic,0,major_domestic,0,3723063,action,2,3,8
의형제,2010-02-04,40153729000,5416812,569,118243,domestic,0,major_domestic,0,6849425,action,2,2,2
마스터,2016-12-21,39784641065,4935320,1501,70786,domestic,0,major_domestic,0,4935320,comedy,0,3,12
나쁜 녀석들: 더 무비,2019-09-11,39560195124,4573902,1511,113938,domestic,0,major_domestic,0,2714941,crime,5,3,9
감시자들,2013-07-03,39380162179,5508017,949,100309,domestic,0,major_domestic,0,5508017,crime,5,3,7
다만 악에서 구하소서,2020-08-05,38602260990,4357803,1998,193842,domestic,0,major_domestic,0,4357803,crime,5,3,8
월드 워 Z,2013-06-20,38555356000,5237525,964,100823,abroad,1,major_domestic,0,2864863,drama,4,2,6
군도: 민란의 시대,2014-07-23,36988022499,4774931,1394,67237,domestic,0,major_domestic,0,4747401,action,2,2,7
내 아내의 모든 것,2012-05-17,34223620500,4598821,563,91773,domestic,0,major_domestic,0,1590719,romance,10,3,5
베놈,2018-10-03,34100211207,3888096,1308,116149,abroad,1,etc_distributor,2,3888096,action,2,2,10
반도,2020-07-15,33072531280,3812250,2575,199048,domestic,0,major_domestic,0,5455944,action,2,2,7
암수살인,2018-10-03,32995138548,3789321,1177,126127,domestic,0,major_domestic,0,2060633,crime,5,2,10
매드 맥스: 분노의 도로,2015-05-14,32912842162,3843343,799,98824,abroad,1,major_abroad,1,3843343,action,2,3,5
연가시,2012-07-05,32175400664,4515833,759,71928,domestic,0,major_domestic,0,4414848,drama,4,3,7
캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385,3963251,1106,110109,abroad,1,major_abroad,1,3963251,action,2,3,3
꾼,2017-11-22,31312029795,4018035,1314,117398,domestic,0,major_domestic,0,4018035,crime,5,3,11
남한산성,2017-10-03,31225083792,3849087,1229,71101,domestic,0,major_domestic,0,5723297,drama,4,3,10
분노의 질주: 더 익스트림,2017-04-12,29981156348,3653238,1469,113241,abroad,1,major_abroad,1,2252577,action,2,3,4
역린,2014-04-30,29894266890,3849552,1054,83296,domestic,0,major_domestic,0,4571493,drama,4,3,4
돈,2019-03-20,28870244062,3389125,1431,120809,domestic,0,major_domestic,0,1917918,comedy,0,3,3
신의 한 수,2014-07-03,28812027456,3566852,794,77109,domestic,0,major_domestic,0,2862144,crime,5,3,7
박수건달,2013-01-09,28343986569,3893216,603,60585,domestic,0,major_domestic,0,3893216,comedy,0,3,1
귀향,2016-02-24,27249738990,3587173,876,90286,domestic,0,etc_distributor,2,1834886,drama,4,3,2
마녀,2018-06-27,27242029463,3189091,1117,90843,domestic,0,major_abroad,1,3081633,mystery,9,3,6
비긴 어게인,2014-08-13,27098834504,3427524,525,82684,abroad,1,etc_distributor,2,1994157,drama,4,3,8
끝까지 간다,2014-05-29,27007303900,3450305,645,84875,domestic,0,major_domestic,0,4289071,crime,5,2,5
탐정: 리턴즈,2018-06-13,26909459678,3152872,1137,107907,domestic,0,major_domestic,0,2152990,comedy,0,3,6
터미네이터 제니시스,2015-07-02,26556715129,3240370,1113,77590,abroad,1,major_domestic,0,3140129,action,2,3,7
분노의 질주: 더 세븐,2015-04-01,26454098694,3247955,983,93612,abroad,1,major_abroad,1,1825151,action,2,3,4
전우치,2009-12-23,26345113000,3611472,556,73175,domestic,0,major_domestic,0,3611472,drama,4,3,12
부러진 화살,2012-01-18,25878629500,3451025,530,71560,domestic,0,major_domestic,0,2087528,drama,4,3,1
서치,2018-08-29,25283364845,2949944,1097,95758,abroad,1,etc_distributor,2,2949944,thriller,11,3,8
가장 보통의 연애,2019-10-02,24885803430,2924563,1073,111527,domestic,0,major_domestic,0,2924563,romance,10,2,10
프리즌,2017-03-23,23790276987,2931897,1047,89024,domestic,0,major_domestic,0,2931897,adventure,8,3,3
스물,2015-03-25,23563421686,3044811,926,100161,domestic,0,major_domestic,0,6834886,comedy,0,3,3
퀵,2011-07-20,22960890000,3125069,514,60714,domestic,0,major_domestic,0,3125069,action,2,3,7
극비수사,2015-06-18,22389535897,2860786,894,66211,domestic,0,major_domestic,0,1917958,drama,4,2,6
표적,2014-04-30,22256769300,2841828,716,72255,domestic,0,major_domestic,0,1662172,action,2,3,4
고지전,2011-07-20,21968557600,2945137,585,53738,domestic,0,major_domestic,0,6849425,etc,1,3,7
타이탄,2010-04-01,21796996500,2642483,694,87911,abroad,1,major_abroad,1,3721359,romance,10,2,4
감기,2013-08-14,21774884000,3117859,806,55046,domestic,0,etc_distributor,2,3117859,drama,4,3,8
레드: 더 레전드,2013-07-18,21511371970,3004649,739,55733,abroad,1,major_domestic,0,3004649,action,2,3,7
곤지암,2018-03-28,21442194144,2675575,1124,88477,domestic,0,major_domestic,0,2675575,fear,12,3,3
살인자의 기억법,2017-09-06,21375287492,2658589,1064,88686,domestic,0,major_domestic,0,3723063,crime,5,3,9
솔트,2010-07-29,21360288000,2869938,556,53679,abroad,1,etc_distributor,2,2869938,action,2,1,7
제이슨 본,2016-07-27,21253434663,2611966,827,39806,abroad,1,major_abroad,1,1604184,action,2,3,7
26년,2012-11-29,21111878145,2940475,611,50044,domestic,0,etc_distributor,2,1678389,action,2,3,11
보안관,2017-05-03,20844488409,2588628,1091,63709,domestic,0,major_domestic,0,2588628,crime,5,3,5
히트맨,2020-01-22,20614278000,2406232,1122,87782,domestic,0,major_domestic,0,2406232,comedy,0,3,1
퍼시픽 림,2013-07-11,20477374512,2539113,1005,55655,abroad,1,major_abroad,1,1808174,action,2,2,7
탐정 : 더 비기닝,2015-09-24,20463956973,2625686,764,54995,domestic,0,major_domestic,0,2317636,comedy,0,2,9
터미네이터: 다크 페이트,2019-10-30,20153895830,2409062,1315,81336,abroad,1,major_abroad,1,2409062,sf,7,3,10
조작된 도시,2017-02-09,20143992587,2515501,1019,62241,domestic,0,major_domestic,0,2515501,action,2,3,2
사바하,2019-02-20,20007508194,2398519,1174,78096,domestic,0,major_domestic,0,2398519,mystery,9,3,2
레미제라블,2012-12-19,19635813500,2707479,592,49348,abroad,1,major_abroad,1,2707479,drama,4,3,12
미션임파서블:고스트프로토콜,2011-12-15,19536876000,2533735,697,53514,abroad,1,major_domestic,0,1944199,action,2,2,12
7광구,2011-08-04,19391653500,2242510,812,47346,domestic,0,major_domestic,0,2242510,sf,7,3,8
재심,2017-02-15,19266319637,2421197,935,68402,domestic,0,etc_distributor,2,1174004,drama,4,3,2
