moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,openingmonth
겨울왕국,2014-01-16,82461504400,10296101,1010,157683,abroad,1,major_abroad,1,5337414,animation,6,2,1
쿵푸팬더 2,2011-05-26,44298708500,5062720,948,101338,abroad,1,major_domestic,0,4523766,animation,6,6,5
라이온 킹,2019-07-17,41519457430,4743264,1936,126496,abroad,1,major_abroad,1,3141537,adventure,8,3,7
인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,abroad,1,major_abroad,1,4969735,animation,6,3,7
주토피아,2016-02-17,37096057742,4706158,735,131005,abroad,1,major_abroad,1,4706158,animation,6,3,2
해리포터와 죽음의 성물2,2011-07-13,34507600000,4400270,757,70380,abroad,1,major_abroad,1,2946451,adventure,8,3,7
쿵푸팬더3,2016-01-28,31340798156,3984812,1365,97404,abroad,1,major_domestic,0,4523766,animation,6,3,1
토이 스토리 4,2019-06-20,28758452040,3400034,1336,85875,abroad,1,major_abroad,1,3400034,animation,6,3,6
코코,2018-01-11,27685479440,3510017,1177,85925,abroad,1,major_abroad,1,2484441,animation,6,3,1
드래곤 길들이기,2010-05-20,27040606000,2562412,563,57264,abroad,1,major_domestic,0,2356796,animation,6,3,5
인크레더블 2,2018-07-18,24554683588,3033052,1605,70934,abroad,1,major_abroad,1,1944199,animation,6,3,7
슈퍼배드 3,2017-07-26,24217091019,3324874,1057,59388,abroad,1,major_abroad,1,2175962,animation,6,3,7
드래곤 길들이기 2,2014-07-23,23979935189,3000056,829,51924,abroad,1,major_domestic,0,2356796,animation,6,3,7
슈렉 포에버,2010-07-01,22809145100,2223851,561,51317,abroad,1,major_domestic,0,1360205,animation,6,3,7
빅 히어로,2015-01-21,21993119765,2801949,825,62229,abroad,1,major_abroad,1,2801949,animation,6,3,1
정글북,2016-06-09,21517647134,2537438,924,59041,abroad,1,major_abroad,1,2537438,animation,6,2,6
도리를 찾아서,2016-07-06,20703899933,2601734,1091,55110,abroad,1,major_abroad,1,1719930,animation,6,3,7
마이펫의 이중생활,2016-08-03,19406436655,2520670,726,39653,abroad,1,major_abroad,1,1311466,animation,6,3,8
보스 베이비,2017-05-03,18936306704,2452245,1116,48379,abroad,1,major_domestic,0,1663938,animation,6,3,5
모아나,2017-01-12,18056417307,2310206,953,53162,abroad,1,major_abroad,1,2310206,animation,6,3,1
장화신은 고양이,2012-01-12,17602643500,2080445,593,45451,abroad,1,major_domestic,0,2080445,animation,6,2,1
해리 포터와 죽음의 성물1,2010-12-15,16974636000,2396988,717,40463,abroad,1,major_abroad,1,2946451,action,2,3,12
걸리버 여행기,2011-01-27,16441365500,1762071,527,41181,abroad,1,etc_distributor,2,1224440,adventure,8,3,1
라이프 오브 파이,2013-01-01,15812506500,1588373,392,32722,abroad,1,etc_distributor,2,987857,adventure,8,2,1
노아,2014-03-20,15514373500,2026594,952,56722,abroad,1,major_domestic,0,2026594,animation,6,3,3
마당을 나온 암탉,2011-07-28,14668226000,2201273,363,39224,domestic,0,major_domestic,0,2201273,animation,6,3,7
토이 스토리 3,2010-08-05,14319338600,1458865,393,28615,abroad,1,etc_distributor,2,2484441,animation,6,3,8
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723,1754375,1453,56412,abroad,1,major_abroad,1,1027905,animation,6,3,1
라스트 에어벤더,2010-08-19,13854892500,1371164,399,32416,abroad,1,major_domestic,0,1012844,fantasy,3,3,8
글러브,2011-01-20,13756104000,1887731,605,44725,domestic,0,major_domestic,0,1989220,drama,4,3,1
닥터 두리틀,2020-01-08,13449206760,1607082,1290,68634,abroad,1,major_abroad,1,1607082,comedy,0,1,1
터보,2013-07-25,13116737000,1924414,634,28783,abroad,1,major_domestic,0,1924414,animation,6,3,7
마다가스카3 : 이번엔 서커스다!,2012-06-06,12521043500,1629799,564,34150,abroad,1,major_domestic,0,1571069,animation,6,3,6
드래곤 길들이기 3,2019-01-30,12346432876,1507922,971,42407,abroad,1,major_abroad,1,2356796,animation,6,3,1
아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,1648110,501,26899,abroad,1,etc_distributor,2,1648110,animation,6,3,7
마다가스카의 펭귄,2014-12-31,11450482159,1512340,615,27171,abroad,1,major_domestic,0,1571069,animation,6,3,12
나니아 연대기: 새벽 출정호의 항해,2010-12-08,10889884000,1140201,493,32481,abroad,1,etc_distributor,2,1140201,fantasy,3,3,12
새미의 어드벤쳐 2,2012-08-01,10856204000,1457380,486,26436,abroad,1,major_domestic,0,725482,animation,6,3,8
라푼젤,2011-02-10,10161464800,1011163,328,22107,abroad,1,etc_distributor,2,1011163,animation,6,2,2
런닝맨,2013-04-04,10060239500,1422844,567,45995,domestic,0,etc_distributor,2,1422844,animation,6,3,4
생일,2019-04-03,9885147340,1197565,878,71797,domestic,0,major_domestic,0,1197565,drama,4,2,4
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398,27236,abroad,1,major_abroad,1,1417198,action,2,3,1
굿 다이노,2016-01-07,9756167238,1328913,814,33127,abroad,1,major_abroad,1,1328913,animation,6,3,1
슈퍼 배드,2010-09-16,9717463000,1027050,338,24577,abroad,1,major_abroad,1,2175962,animation,6,3,9
점박이:한반도의 공룡3D,2012-01-26,9681445500,1050852,457,22475,domestic,0,major_domestic,0,713082,animation,6,3,1
메리다와 마법의 숲,2012-09-27,9024766000,1231024,479,22087,abroad,1,etc_distributor,2,1231024,animation,6,3,9
메가마인드,2011-01-13,8688842000,875631,414,22905,abroad,1,major_domestic,0,1663938,animation,6,3,1
마이펫의 이중생활 2,2019-07-31,8512902825,1114949,933,30858,abroad,1,major_abroad,1,1311466,animation,6,3,7
씽,2016-12-21,8203857789,1063175,795,19645,abroad,1,major_abroad,1,1063175,animation,6,3,12
박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,1101678,500,30146,abroad,1,etc_distributor,2,2340672,adventure,8,3,1
몬스터 호텔 3,2018-08-08,7934082800,1072220,715,21247,abroad,1,etc_distributor,2,973291,animation,6,2,8
나랏말싸미,2019-07-24,7871240823,958775,1211,39206,domestic,0,etc_distributor,2,958775,drama,4,3,7
"고산자, 대동여지도",2016-09-07,7801007258,974262,765,38048,domestic,0,major_domestic,0,1989220,drama,4,2,9
개구쟁이 스머프,2011-08-11,7722519000,1027436,399,18225,abroad,1,etc_distributor,2,974612,animation,6,3,8
마루 밑 아리에티,2010-09-09,7649985500,1065967,337,29804,abroad,1,major_domestic,0,800649,animation,6,3,9
"님아, 그 강을 건너지 마오",2014-11-27,7510901600,955433,486,26199,domestic,0,etc_distributor,2,955433,etc,1,2,11
작은 아씨들,2020-02-12,7283877330,864782,1105,59781,abroad,1,etc_distributor,2,864782,drama,4,3,2
파퍼씨네 펭귄들,2011-09-07,7049177000,980387,333,26307,abroad,1,etc_distributor,2,980387,comedy,0,3,9
몬스터 호텔 2,2015-12-24,7029012585,962770,686,12388,abroad,1,major_abroad,1,973291,animation,6,3,12
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,6826641500,931342,459,19941,domestic,0,major_domestic,0,661551,animation,6,3,1
에픽 : 숲속의 전설,2013-08-07,6748072000,978785,471,18377,abroad,1,etc_distributor,2,978785,animation,6,3,8
틴틴 : 유니콘호의 비밀,2011-12-07,6646528500,803256,644,31075,abroad,1,major_domestic,0,1107519,adventure,8,3,12
슈퍼배드 2,2013-09-12,6605655500,962862,424,17373,abroad,1,major_abroad,1,962862,animation,6,2,9
극장판 헬로카봇 : 백악기 시대,2018-08-01,6589532500,879449,758,16173,domestic,0,major_domestic,0,613839,animation,6,3,8
크루즈 패밀리,2013-05-16,6540951500,941824,525,21734,abroad,1,major_domestic,0,941824,animation,6,3,5
새미의 어드벤쳐,2010-12-15,6108607500,647860,309,14302,abroad,1,major_domestic,0,725482,animation,6,3,12
레드슈즈,2019-07-25,6103833190,817729,717,20376,domestic,0,major_domestic,0,817729,animation,6,3,7
캣츠,2019-12-24,6093167690,728328,1143,22732,abroad,1,major_abroad,1,728328,animation,6,3,12
몬스터 호텔,2013-01-17,6080221500,884885,489,16647,abroad,1,major_abroad,1,973291,animation,6,2,1
개구쟁이 스머프 2,2013-08-01,5993979500,921788,478,15485,abroad,1,major_abroad,1,974612,animation,6,3,8
뽀로로 극장판 보물섬 대모험,2019-04-25,5886383900,766843,797,20075,domestic,0,major_domestic,0,770293,animation,6,3,4
몬스터 대학교,2013-09-12,5879223500,870605,385,15172,abroad,1,major_abroad,1,644344,animation,6,3,9
뽀로로 극장판 공룡섬 대모험,2017-12-07,5848888600,773743,803,18226,domestic,0,major_domestic,0,770293,animation,6,3,12
명탐정 피카츄,2019-05-09,5730788546,686809,817,25776,abroad,1,major_abroad,1,1224440,action,2,2,5
리오 2,2014-05-01,5669231900,765961,598,14929,abroad,1,etc_distributor,2,648296,animation,6,3,5
하늘에서 음식이 내린다면,2010-02-11,5413862500,654510,282,16556,abroad,1,etc_distributor,2,726180,animation,6,3,2
하늘에서 음식이 내린다면 2,2013-11-21,5411562500,797850,545,16340,abroad,1,major_abroad,1,726180,animation,6,3,11
