moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,openingmonth
내부자들,2015-11-19,56465665657,7055332,1129,152265,domestic,0,major_domestic,0,2977866,crime,5,3,11
킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,728,139988,abroad,1,etc_distributor,2,4536339,action,2,3,2
아저씨,2010-08-04,47101332000,6178248,501,109853,domestic,0,major_domestic,0,2347992,action,2,2,8
킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687,95922,abroad,1,etc_distributor,2,4536339,action,2,3,9
숨바꼭질,2013-08-14,39602977500,5604103,779,88062,domestic,0,major_domestic,0,5604103,thriller,11,3,8
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,4719872,713,91889,domestic,0,major_domestic,0,4747401,crime,5,2,2
도가니,2011-09-22,35566854800,4662822,756,88337,domestic,0,major_domestic,0,5723297,drama,4,2,9
아가씨,2016-06-01,35211229991,4287839,1171,90365,domestic,0,major_domestic,0,4287839,thriller,11,3,6
신세계,2013-02-21,34881330905,4682492,671,90580,domestic,0,major_domestic,0,3081633,crime,5,3,2
타짜-신의 손,2014-09-03,32373120927,4015361,890,80584,domestic,0,major_domestic,0,2637086,drama,4,3,9
악인전,2019-05-15,29133760150,3364712,1307,97351,domestic,0,etc_distributor,2,1873097,crime,5,3,5
이끼,2010-07-14,25437300500,3350303,740,58198,domestic,0,major_domestic,0,1989220,drama,4,4,7
타워,2012-12-25,22996601500,3166425,638,58869,domestic,0,major_domestic,0,3166425,thriller,11,3,12
방자전,2010-06-02,22490024000,2985483,495,67562,domestic,0,major_domestic,0,2213728,drama,4,3,6
친구 2,2013-11-14,21795237513,2969900,968,69856,domestic,0,major_domestic,0,1917958,etc,1,3,11
목격자,2018-08-15,21737061097,2524720,1021,71403,domestic,0,major_domestic,0,2524720,thriller,11,3,8
부당거래,2010-10-28,20996302500,2722996,502,69703,domestic,0,major_domestic,0,7576385,crime,5,3,10
아수라,2016-09-28,20576226662,2594028,1278,68040,domestic,0,major_domestic,0,2594028,action,2,3,9
내가 살인범이다,2012-11-08,20392266000,2729798,547,58409,domestic,0,major_domestic,0,1968939,action,2,2,11
타짜: 원 아이드 잭,2019-09-11,19687029214,2229239,1429,66479,domestic,0,major_domestic,0,2229239,crime,5,3,9
후궁 : 제왕의 첩,2012-06-06,19330302500,2636320,624,69104,domestic,0,major_domestic,0,1520119,romance,10,3,6
이웃사람,2012-08-22,18088462369,2434269,600,56752,domestic,0,major_domestic,0,2434269,thriller,11,3,8
강남 1970,2015-01-21,17718699499,2192276,841,53304,domestic,0,major_domestic,0,1902415,action,2,3,1
화이: 괴물을 삼킨 아이,2013-10-09,17695412795,2394453,817,59049,domestic,0,major_domestic,0,3842381,action,2,3,10
테이큰 2,2012-09-27,17581098553,2308596,682,51344,abroad,1,etc_distributor,2,1589298,action,2,3,9
겟 아웃,2017-05-17,17431830075,2138174,945,56530,abroad,1,major_abroad,1,2138174,action,2,2,5
하녀,2010-05-13,17038639000,2267556,555,59621,domestic,0,etc_distributor,2,2267556,thriller,11,3,5
나잇&데이,2010-06-24,16777869600,2243484,494,54797,abroad,1,etc_distributor,2,2243484,comedy,0,1,6
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,abroad,1,major_abroad,1,1898220,action,2,3,8
마약왕,2018-12-19,15784724552,1813594,1297,41658,domestic,0,major_domestic,0,2977866,crime,5,3,12
내부자들: 디 오리지널,2015-12-31,15742927260,1924720,838,45697,domestic,0,major_domestic,0,2977866,crime,5,3,12
쩨쩨한 로맨스,2010-12-01,15338827000,2009586,450,46199,domestic,0,major_domestic,0,2317636,romance,10,2,12
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14533948000,1190008,337,37849,abroad,1,etc_distributor,2,845717,action,2,1,9
