moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
어벤져스: 엔드게임,2019-04-24,122182694160,13934592,2835,242001,abroad,1,major_abroad,1,10224854,3,PG 12,1,4
베테랑,2015-08-05,105168155250,13414009,1115,199231,domestic,0,major_domestic,0,7576385,3,PG 15,0,8
어벤져스: 인피니티 워,2018-04-25,99926399769,11212710,2553,240501,abroad,1,major_abroad,1,10224854,3,PG 12,1,4
부산행,2016-07-20,93178283048,11565479,1788,151315,domestic,0,major_domestic,0,5455944,3,PG 15,0,7
어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843,191778,abroad,1,major_abroad,1,10494499,3,PG 12,1,4
엑시트,2019-07-31,79232012162,9426011,1660,202223,domestic,0,major_domestic,0,9426011,2,PG 12,1,7
캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991,161696,abroad,1,major_abroad,1,10224854,3,PG 12,1,4
스파이더맨: 파 프롬 홈,2019-07-02,69010000100,8021145,2142,180474,abroad,1,etc_distributor,2,5866190,3,PG 12,1,7
공조,2017-01-18,63783051326,7817618,1392,142989,domestic,0,major_domestic,0,4289071,3,PG 15,0,1
밀정,2016-09-07,61269783831,7500420,1444,138161,domestic,0,major_abroad,1,4658741,2,PG 15,0,9
어벤져스,2012-04-26,59557853478,7074867,967,109697,abroad,1,major_abroad,1,10224854,3,PG 12,1,4
스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,abroad,1,etc_distributor,2,5866190,2,PG 12,1,7
미션 임파서블: 폴아웃,2018-07-25,55888375112,6584915,1957,101374,abroad,1,major_domestic,0,6355701,3,PG 15,0,7
최종병기 활,2011-08-10,55827861500,7470633,615,130054,domestic,0,major_domestic,0,7470633,3,PG 15,0,8
캡틴 마블,2019-03-06,51507488723,5802810,2100,186382,abroad,1,major_abroad,1,5802810,3,PG 12,1,3
군함도,2017-07-26,50510565168,6592151,2027,108775,domestic,0,major_domestic,0,7576385,3,PG 15,0,7
킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,728,139988,abroad,1,etc_distributor,2,4536339,3,X_rated,3,2
