moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
해적: 바다로 간 산적,2014-08-06,66370682706,8666046,910,133350,domestic,0,major_domestic,0,5951226,2,PG 12,1,8
라이온 킹,2019-07-17,41519457430,4743264,1936,126496,abroad,1,major_abroad,1,3141537,3,G_rated,2,7
해리포터와 죽음의 성물2,2011-07-13,34507600000,4400270,757,70380,abroad,1,major_abroad,1,2946451,3,G_rated,2,7
프리즌,2017-03-23,23790276987,2931897,1047,89024,domestic,0,major_domestic,0,2931897,3,PG 15,0,3
신비한 동물들과 그린델왈드의 범죄,2018-11-14,20816583118,2414062,1601,76846,abroad,1,major_abroad,1,2946451,3,PG 12,1,11
조선명탐정: 흡혈괴마의 비밀,2018-02-08,19822789764,2444136,1249,74953,domestic,0,major_domestic,0,3700803,3,PG 12,1,2
걸리버 여행기,2011-01-27,16441365500,1762071,527,41181,abroad,1,etc_distributor,2,1224440,3,G_rated,2,1
레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,2007188,967,55063,abroad,1,etc_distributor,2,2007188,3,PG 15,0,1
라이프 오브 파이,2013-01-01,15812506500,1588373,392,32722,abroad,1,etc_distributor,2,987857,2,G_rated,2,1
벤허,2016-09-14,11410860395,1400301,717,38941,abroad,1,major_domestic,0,872588,3,PG 12,1,9
박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,1101678,500,30146,abroad,1,etc_distributor,2,2340672,3,G_rated,2,1
갓 오브 이집트,2016-03-03,7621291624,919834,618,35323,abroad,1,etc_distributor,2,919834,3,PG 12,1,3
잭 더 자이언트 킬러,2013-02-28,7376481000,956154,507,27115,abroad,1,major_abroad,1,2233161,3,PG 12,1,2
틴틴 : 유니콘호의 비밀,2011-12-07,6646528500,803256,644,31075,abroad,1,major_domestic,0,1107519,3,G_rated,2,12
월터의 상상은 현실이 된다,2013-12-31,6134220799,834348,373,22938,abroad,1,etc_distributor,2,834348,3,PG 12,1,12
패신저스,2017-01-04,5467466918,668576,608,21517,abroad,1,major_abroad,1,1206269,3,PG 12,1,1
거울나라의 앨리스,2016-09-07,4145733267,513202,515,19585,abroad,1,major_abroad,1,513202,3,PG 12,1,9
곰돌이 푸 다시 만나 행복해,2018-10-03,4093369860,492201,536,21601,abroad,1,major_abroad,1,2864863,3,G_rated,2,10
퍼시 잭슨과 괴물의 바다,2013-09-12,3791349609,519584,409,17054,abroad,1,etc_distributor,2,519584,3,PG 12,1,9
시즌 오브 더 위치: 마녀 호송단,2011-01-13,3277434500,435201,220,14539,abroad,1,major_domestic,0,435201,2,PG 15,0,1
극장판 포켓몬스터 너로 정했다!,2017-12-21,3117529700,415255,626,7796,abroad,1,etc_distributor,2,276411,2,G_rated,2,12
차이니즈 조디악,2013-02-27,2211711500,315305,300,13432,abroad,1,major_domestic,0,315305,2,PG 12,1,2
후드,2018-11-28,2203434149,284601,628,14338,abroad,1,etc_distributor,2,284601,3,PG 12,1,11
투모로우랜드,2015-05-27,2083283000,265810,435,14640,abroad,1,major_abroad,1,1944199,3,PG 12,1,5
뮬란,2020-09-17,2079737620,236247,1420,38703,abroad,1,major_abroad,1,236247,1,PG 12,1,9
프리즌 이스케이프,2020-05-06,1848297600,217056,547,29305,abroad,1,etc_distributor,2,217056,2,PG 12,1,5
알라딘,2019-05-23,1205410680,171494,549,15752,abroad,1,major_abroad,1,512169,3,G_rated,2,5
