moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
겨울왕국,2014-01-16,82461504400,10296101,1010,157683,abroad,1,major_abroad,1,5337414,2,G_rated,2,1
쿵푸팬더 2,2011-05-26,44298708500,5062720,948,101338,abroad,1,major_domestic,0,4523766,6,G_rated,2,5
인사이드 아웃,2015-07-09,38024694936,4969735,931,84000,abroad,1,major_abroad,1,4969735,3,G_rated,2,7
주토피아,2016-02-17,37096057742,4706158,735,131005,abroad,1,major_abroad,1,4706158,3,G_rated,2,2
쿵푸팬더3,2016-01-28,31340798156,3984812,1365,97404,abroad,1,major_domestic,0,4523766,3,G_rated,2,1
너의 이름은.,2017-01-04,29251793156,3637608,947,82978,abroad,1,etc_distributor,2,1848288,2,PG 12,1,1
토이 스토리 4,2019-06-20,28758452040,3400034,1336,85875,abroad,1,major_abroad,1,3400034,3,G_rated,2,6
코코,2018-01-11,27685479440,3510017,1177,85925,abroad,1,major_abroad,1,2484441,3,G_rated,2,1
드래곤 길들이기,2010-05-20,27040606000,2562412,563,57264,abroad,1,major_domestic,0,2356796,3,G_rated,2,5
인크레더블 2,2018-07-18,24554683588,3033052,1605,70934,abroad,1,major_abroad,1,1944199,3,G_rated,2,7
슈퍼배드 3,2017-07-26,24217091019,3324874,1057,59388,abroad,1,major_abroad,1,2175962,3,G_rated,2,7
드래곤 길들이기 2,2014-07-23,23979935189,3000056,829,51924,abroad,1,major_domestic,0,2356796,3,G_rated,2,7
슈렉 포에버,2010-07-01,22809145100,2223851,561,51317,abroad,1,major_domestic,0,1360205,3,G_rated,2,7
빅 히어로,2015-01-21,21993119765,2801949,825,62229,abroad,1,major_abroad,1,2801949,3,G_rated,2,1
정글북,2016-06-09,21517647134,2537438,924,59041,abroad,1,major_abroad,1,2537438,2,G_rated,2,6
도리를 찾아서,2016-07-06,20703899933,2601734,1091,55110,abroad,1,major_abroad,1,1719930,3,G_rated,2,7
마이펫의 이중생활,2016-08-03,19406436655,2520670,726,39653,abroad,1,major_abroad,1,1311466,3,G_rated,2,8
보스 베이비,2017-05-03,18936306704,2452245,1116,48379,abroad,1,major_domestic,0,1663938,3,G_rated,2,5
모아나,2017-01-12,18056417307,2310206,953,53162,abroad,1,major_abroad,1,2310206,3,G_rated,2,1
장화신은 고양이,2012-01-12,17602643500,2080445,593,45451,abroad,1,major_domestic,0,2080445,2,G_rated,2,1
노아,2014-03-20,15514373500,2026594,952,56722,abroad,1,major_domestic,0,2026594,3,G_rated,2,3
마당을 나온 암탉,2011-07-28,14668226000,2201273,363,39224,domestic,0,major_domestic,0,2201273,3,G_rated,2,7
토이 스토리 3,2010-08-05,14319338600,1458865,393,28615,abroad,1,etc_distributor,2,2484441,3,G_rated,2,8
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723,1754375,1453,56412,abroad,1,major_abroad,1,1027905,3,G_rated,2,1
터보,2013-07-25,13116737000,1924414,634,28783,abroad,1,major_domestic,0,1924414,3,G_rated,2,7
마다가스카3 : 이번엔 서커스다!,2012-06-06,12521043500,1629799,564,34150,abroad,1,major_domestic,0,1571069,3,G_rated,2,6
드래곤 길들이기 3,2019-01-30,12346432876,1507922,971,42407,abroad,1,major_abroad,1,2356796,3,G_rated,2,1
아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,1648110,501,26899,abroad,1,etc_distributor,2,1648110,3,G_rated,2,7
마다가스카의 펭귄,2014-12-31,11450482159,1512340,615,27171,abroad,1,major_domestic,0,1571069,3,G_rated,2,12
새미의 어드벤쳐 2,2012-08-01,10856204000,1457380,486,26436,abroad,1,major_domestic,0,725482,3,G_rated,2,8
라푼젤,2011-02-10,10161464800,1011163,328,22107,abroad,1,etc_distributor,2,1011163,2,G_rated,2,2
런닝맨,2013-04-04,10060239500,1422844,567,45995,domestic,0,etc_distributor,2,1422844,3,G_rated,2,4
굿 다이노,2016-01-07,9756167238,1328913,814,33127,abroad,1,major_abroad,1,1328913,3,G_rated,2,1
슈퍼 배드,2010-09-16,9717463000,1027050,338,24577,abroad,1,major_abroad,1,2175962,3,G_rated,2,9
점박이:한반도의 공룡3D,2012-01-26,9681445500,1050852,457,22475,domestic,0,major_domestic,0,713082,3,G_rated,2,1
메리다와 마법의 숲,2012-09-27,9024766000,1231024,479,22087,abroad,1,etc_distributor,2,1231024,3,G_rated,2,9
메가마인드,2011-01-13,8688842000,875631,414,22905,abroad,1,major_domestic,0,1663938,3,G_rated,2,1
마이펫의 이중생활 2,2019-07-31,8512902825,1114949,933,30858,abroad,1,major_abroad,1,1311466,3,G_rated,2,7
씽,2016-12-21,8203857789,1063175,795,19645,abroad,1,major_abroad,1,1063175,3,G_rated,2,12
몬스터 호텔 3,2018-08-08,7934082800,1072220,715,21247,abroad,1,etc_distributor,2,973291,2,G_rated,2,8
개구쟁이 스머프,2011-08-11,7722519000,1027436,399,18225,abroad,1,etc_distributor,2,974612,3,G_rated,2,8
마루 밑 아리에티,2010-09-09,7649985500,1065967,337,29804,abroad,1,major_domestic,0,800649,3,G_rated,2,9
몬스터 호텔 2,2015-12-24,7029012585,962770,686,12388,abroad,1,major_abroad,1,973291,3,G_rated,2,12
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,6826641500,931342,459,19941,domestic,0,major_domestic,0,661551,3,G_rated,2,1
에픽 : 숲속의 전설,2013-08-07,6748072000,978785,471,18377,abroad,1,etc_distributor,2,978785,3,G_rated,2,8
슈퍼배드 2,2013-09-12,6605655500,962862,424,17373,abroad,1,major_abroad,1,962862,2,G_rated,2,9
극장판 헬로카봇 : 백악기 시대,2018-08-01,6589532500,879449,758,16173,domestic,0,major_domestic,0,613839,3,G_rated,2,8
크루즈 패밀리,2013-05-16,6540951500,941824,525,21734,abroad,1,major_domestic,0,941824,3,G_rated,2,5
새미의 어드벤쳐,2010-12-15,6108607500,647860,309,14302,abroad,1,major_domestic,0,725482,3,G_rated,2,12
레드슈즈,2019-07-25,6103833190,817729,717,20376,domestic,0,major_domestic,0,817729,3,G_rated,2,7
캣츠,2019-12-24,6093167690,728328,1143,22732,abroad,1,major_abroad,1,728328,3,G_rated,2,12
몬스터 호텔,2013-01-17,6080221500,884885,489,16647,abroad,1,major_abroad,1,973291,2,G_rated,2,1
개구쟁이 스머프 2,2013-08-01,5993979500,921788,478,15485,abroad,1,major_abroad,1,974612,3,G_rated,2,8
뽀로로 극장판 보물섬 대모험,2019-04-25,5886383900,766843,797,20075,domestic,0,major_domestic,0,770293,3,G_rated,2,4
몬스터 대학교,2013-09-12,5879223500,870605,385,15172,abroad,1,major_abroad,1,644344,3,G_rated,2,9
뽀로로 극장판 공룡섬 대모험,2017-12-07,5848888600,773743,803,18226,domestic,0,major_domestic,0,770293,3,G_rated,2,12
리오 2,2014-05-01,5669231900,765961,598,14929,abroad,1,etc_distributor,2,648296,3,G_rated,2,5
하늘에서 음식이 내린다면,2010-02-11,5413862500,654510,282,16556,abroad,1,etc_distributor,2,726180,3,G_rated,2,2
하늘에서 음식이 내린다면 2,2013-11-21,5411562500,797850,545,16340,abroad,1,major_abroad,1,726180,3,G_rated,2,11
스파이더맨: 뉴 유니버스,2018-12-12,5305289076,639934,722,22113,abroad,1,etc_distributor,2,639934,3,PG 12,1,12
앵그리버드 더 무비,2016-05-19,5218111744,680606,661,15812,abroad,1,major_abroad,1,680606,3,G_rated,2,5
리오,2011-07-27,5021719500,645151,333,13781,abroad,1,etc_distributor,2,648296,3,G_rated,2,7
트롤,2017-02-16,5011161500,675966,622,18387,abroad,1,major_domestic,0,675966,3,G_rated,2,2
신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,5001247250,678091,762,16175,domestic,0,major_domestic,0,678091,3,G_rated,2,7
아더 크리스마스,2011-11-25,4771040500,620995,356,14606,abroad,1,etc_distributor,2,620995,3,G_rated,2,11
극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,4579618150,590413,889,20852,domestic,0,major_domestic,0,613839,3,G_rated,2,9
