moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
도둑들,2012-07-25,93664808500,12983178,1091,155392,domestic,0,major_domestic,0,12983178,3,PG 15,0,7
검사외전,2016-02-03,77320403264,9707581,1812,153532,domestic,0,major_domestic,0,9707581,2,PG 15,0,2
내부자들,2015-11-19,56465665657,7055332,1129,152265,domestic,0,major_domestic,0,2977866,3,X_rated,3,11
독전,2018-05-22,43485551113,5063684,1532,140007,domestic,0,major_domestic,0,2710049,3,PG 15,0,5
공작,2018-08-08,42788851176,4974520,1317,99001,domestic,0,major_domestic,0,2738003,3,PG 15,0,8
나쁜 녀석들: 더 무비,2019-09-11,39560195124,4573902,1511,113938,domestic,0,major_domestic,0,2714941,3,PG 15,0,9
감시자들,2013-07-03,39380162179,5508017,949,100309,domestic,0,major_domestic,0,5508017,3,PG 15,0,7
다만 악에서 구하소서,2020-08-05,38602260990,4357803,1998,193842,domestic,0,major_domestic,0,4357803,3,PG 15,0,8
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,4719872,713,91889,domestic,0,major_domestic,0,4747401,2,X_rated,3,2
신세계,2013-02-21,34881330905,4682492,671,90580,domestic,0,major_domestic,0,3081633,3,X_rated,3,2
암수살인,2018-10-03,32995138548,3789321,1177,126127,domestic,0,major_domestic,0,2060633,2,PG 15,0,10
꾼,2017-11-22,31312029795,4018035,1314,117398,domestic,0,major_domestic,0,4018035,3,PG 15,0,11
악인전,2019-05-15,29133760150,3364712,1307,97351,domestic,0,etc_distributor,2,1873097,3,X_rated,3,5
신의 한 수,2014-07-03,28812027456,3566852,794,77109,domestic,0,major_domestic,0,2862144,3,PG 15,0,7
끝까지 간다,2014-05-29,27007303900,3450305,645,84875,domestic,0,major_domestic,0,4289071,2,PG 15,0,5
나우 유 씨 미 2,2016-07-13,25116690113,3100113,1200,56981,abroad,1,major_domestic,0,1875958,3,PG 12,1,7
살인자의 기억법,2017-09-06,21375287492,2658589,1064,88686,domestic,0,major_domestic,0,3723063,3,PG 15,0,9
부당거래,2010-10-28,20996302500,2722996,502,69703,domestic,0,major_domestic,0,7576385,3,X_rated,3,10
블랙머니,2019-11-13,20863134010,2478964,1141,77469,domestic,0,etc_distributor,2,2087528,2,PG 12,1,11
보안관,2017-05-03,20844488409,2588628,1091,63709,domestic,0,major_domestic,0,2588628,3,PG 15,0,5
타짜: 원 아이드 잭,2019-09-11,19687029214,2229239,1429,66479,domestic,0,major_domestic,0,2229239,3,X_rated,3,9
나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,2718227,691,54658,abroad,1,major_domestic,0,2718227,3,PG 12,1,8
신의 한 수: 귀수편,2019-11-07,18463776050,2157437,1246,82178,domestic,0,major_domestic,0,2862144,3,PG 15,0,11
악의 연대기,2015-05-14,17361815332,2192525,776,64351,domestic,0,major_domestic,0,2192525,3,PG 15,0,5
협상,2018-09-19,17032133166,1967721,919,57926,domestic,0,major_domestic,0,1967721,2,PG 15,0,9
마약왕,2018-12-19,15784724552,1813594,1297,41658,domestic,0,major_domestic,0,2977866,3,X_rated,3,12
내부자들: 디 오리지널,2015-12-31,15742927260,1924720,838,45697,domestic,0,major_domestic,0,2977866,3,X_rated,3,12
뺑반,2019-01-30,15224305848,1826912,1285,47215,domestic,0,major_domestic,0,1649509,3,PG 15,0,1
악마를 보았다,2010-08-12,13919416500,1817063,490,42721,domestic,0,major_domestic,0,4658741,2,X_rated,3,8
도굴,2020-11-04,13764680410,1523514,1635,133284,domestic,0,major_domestic,0,1523514,3,PG 12,1,11
아이들...,2011-02-17,13579712500,1867849,504,41515,domestic,0,major_domestic,0,1867849,3,PG 15,0,2
성난황소,2018-11-22,13236490737,1593386,1010,48932,domestic,0,major_domestic,0,1593386,2,PG 15,0,11
공모자들,2012-08-29,12240964500,1646142,496,44959,domestic,0,etc_distributor,2,959726,3,X_rated,3,8
차이나타운,2015-04-29,11990370378,1472106,551,45137,domestic,0,etc_distributor,2,1649509,3,X_rated,3,4
