moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
명량,2014-07-30,135748398910,17613682,1587,188611,domestic,0,major_domestic,0,8982706,3,PG 12,1,7
인천상륙작전,2016-07-27,55101410303,7049643,1049,97019,domestic,0,major_domestic,0,5189983,3,PG 15,0,7
덕혜옹주,2016-08-03,44393828109,5599229,964,97312,domestic,0,major_domestic,0,3317126,2,PG 12,1,8
더 킹,2017-01-18,43488814535,5317693,1310,107983,domestic,0,major_domestic,0,5317693,2,PG 15,0,1
포화속으로,2010-06-16,23831958600,3330324,742,80091,domestic,0,major_domestic,0,5189983,6,PG 12,1,6
고지전,2011-07-20,21968557600,2945137,585,53738,domestic,0,major_domestic,0,6849425,3,PG 15,0,7
친구 2,2013-11-14,21795237513,2969900,968,69856,domestic,0,major_domestic,0,1917958,3,X_rated,3,11
맘마미아!2,2018-08-08,19607520003,2293884,750,59060,abroad,1,major_abroad,1,2293884,3,PG 12,1,8
명당,2018-09-19,17900775524,2087474,1117,58450,domestic,0,etc_distributor,2,1391393,3,PG 12,1,9
노무현입니다,2017-05-25,14556517612,1855149,775,61327,domestic,0,etc_distributor,2,1855149,1,PG 12,1,5
공범,2013-10-24,12333110882,1766285,611,51425,domestic,0,major_domestic,0,1766285,3,PG 15,0,10
장사리 : 잊혀진 영웅들,2019-09-25,8997921050,1140876,1090,47821,domestic,0,major_abroad,1,1917958,3,PG 12,1,9
천문: 하늘에 묻는다,2019-12-26,8695248070,1035024,929,43246,domestic,0,major_domestic,0,3317126,2,PG 12,1,12
깡철이,2013-10-02,8572344462,1209363,707,43102,domestic,0,major_domestic,0,1209363,2,PG 15,0,10
심장이 뛴다,2011-01-05,7538083500,1006947,445,26778,domestic,0,major_domestic,0,1006947,3,PG 15,0,1
"님아, 그 강을 건너지 마오",2014-11-27,7510901600,955433,486,26199,domestic,0,etc_distributor,2,955433,2,G_rated,2,11
서부전선,2015-09-24,4751661400,609063,509,18935,domestic,0,major_domestic,0,609063,2,PG 12,1,9
마음이2,2010-07-21,4631432000,696382,262,20458,domestic,0,major_domestic,0,696382,3,G_rated,2,7
"그날, 바다",2018-04-12,4446000528,540631,643,30376,domestic,0,etc_distributor,2,540631,1,PG 15,0,4
파파,2012-02-01,4000072000,587291,414,24767,domestic,0,major_domestic,0,587291,3,PG 12,1,2
세 얼간이,2011-08-18,3355257500,459307,232,13197,abroad,1,etc_distributor,2,459307,3,PG 15,0,8
창수,2013-11-28,3146542000,429141,415,19471,domestic,0,etc_distributor,2,429141,3,X_rated,3,11
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,3129974000,102008,106,4771,domestic,0,etc_distributor,2,102008,1,G_rated,2,9
브링 더 소울 : 더 무비,2019-08-07,2902500310,336074,569,10199,domestic,0,major_abroad,1,260925,3,G_rated,2,8
덤보,2019-03-27,2775096512,345521,797,17627,abroad,1,major_abroad,1,1215268,3,G_rated,2,3
하이힐,2014-06-03,2750311500,341634,385,16750,domestic,0,major_domestic,0,628336,3,X_rated,3,6
번 더 스테이지: 더 무비,2018-11-15,2671391900,315010,243,4714,domestic,0,major_abroad,1,260925,3,G_rated,2,11
"울지마, 톤즈",2010-09-09,1439624500,260998,73,8039,domestic,0,etc_distributor,2,260998,2,G_rated,2,9
미스터트롯: 더 무비,2020-10-22,1288696100,150090,449,15980,domestic,0,etc_distributor,2,150090,3,G_rated,2,10
브레이크 더 사일런스: 더 무비,2020-09-24,1160249000,131693,205,10604,domestic,0,etc_distributor,2,260925,3,G_rated,2,9
