moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
신과함께-인과 연,2018-08-01,102666146909,12274996,2235,179981,domestic,0,major_domestic,0,6491963,3,PG 12,1,8
신과함께-죄와 벌,2017-12-20,47355583705,5872007,1644,121961,domestic,0,major_domestic,0,6491963,3,PG 12,1,12
신비한 동물사전,2016-11-16,39300515858,4662534,1431,115676,abroad,1,major_abroad,1,2946451,3,PG 12,1,11
캐리비안의 해적: 낯선 조류,2011-05-19,27279967500,3130046,960,67036,abroad,1,etc_distributor,2,1223870,3,PG 12,1,5
미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904,70451,abroad,1,etc_distributor,2,1215268,3,PG 12,1,9
호빗: 뜻밖의 여정,2012-12-13,21724069066,2605124,1028,44977,abroad,1,major_abroad,1,1682629,3,PG 12,1,12
호빗: 스마우그의 폐허,2013-12-12,16564184549,2115878,811,35223,abroad,1,major_abroad,1,1682629,3,PG 12,1,12
내안의 그놈,2019-01-09,16302228567,1902828,1041,61683,domestic,0,etc_distributor,2,1368505,3,PG 15,0,1
토르: 천둥의 신,2011-04-28,15985737000,1694562,496,45188,abroad,1,major_domestic,0,961906,3,PG 12,1,4
이클립스,2010-07-07,14945720000,2069246,535,46355,abroad,1,major_domestic,0,2069246,3,PG 12,1,7
라스트 에어벤더,2010-08-19,13854892500,1371164,399,32416,abroad,1,major_domestic,0,1012844,3,G_rated,2,8
퍼시 잭슨과 번개 도둑,2010-02-11,13158158500,1846180,334,43667,abroad,1,etc_distributor,2,932025,3,PG 12,1,2
말레피센트 2,2019-10-17,12191395690,1444952,1108,63768,abroad,1,major_abroad,1,1964124,3,PG 12,1,10
나니아 연대기: 새벽 출정호의 항해,2010-12-08,10889884000,1140201,493,32481,abroad,1,etc_distributor,2,1140201,3,G_rated,2,12
말레피센트,2014-05-29,10776965900,1397526,554,38894,abroad,1,major_abroad,1,1964124,3,PG 12,1,5
드라큘라: 전설의 시작,2014-10-08,10607703908,1321751,477,46483,abroad,1,major_abroad,1,1321751,3,PG 15,0,10
"당신, 거기 있어줄래요",2016-12-14,8999085248,1124815,767,39181,domestic,0,major_domestic,0,1168829,3,PG 12,1,12
헝거게임: 캣칭 파이어,2013-11-21,7850816000,1125739,630,33686,abroad,1,major_domestic,0,928878,3,PG 15,0,11
헝거게임: 모킹제이,2014-11-20,6400058044,854377,630,28796,abroad,1,major_domestic,0,928878,3,PG 15,0,11
손님,2015-07-09,6385937880,828025,634,23404,domestic,0,major_domestic,0,828025,3,PG 15,0,7
삼총사 3D,2011-10-12,5731619500,660172,510,29377,abroad,1,major_domestic,0,845717,3,PG 12,1,10
스노우 화이트 앤 더 헌츠맨,2012-05-30,4646250000,636631,447,20647,abroad,1,major_abroad,1,700351,3,PG 12,1,5
헝거게임: 판엠의 불꽃,2012-04-05,4478418000,607956,514,24924,abroad,1,major_domestic,0,971892,3,PG 15,0,4
호두까기 인형과 4개의 왕국,2018-12-06,4120048900,513767,294,14238,abroad,1,major_abroad,1,513767,3,G_rated,2,12
섀도우 헌터스: 뼈의 도시,2013-09-12,4034176500,571074,374,18273,abroad,1,major_domestic,0,429176,3,PG 15,0,9
온워드: 단 하루의 기적,2020-06-17,3590809620,418084,1138,45697,abroad,1,major_abroad,1,644344,3,G_rated,2,6
오즈 그레이트 앤드 파워풀,2013-03-07,2886185000,350563,425,15582,abroad,1,major_abroad,1,350563,3,G_rated,2,3
호빗: 다섯 군대 전투,2014-12-17,2840004341,326887,350,7347,abroad,1,major_abroad,1,1682629,3,PG 12,1,12
숲속으로,2014-12-24,2409562888,317406,356,7709,abroad,1,major_abroad,1,1223870,3,G_rated,2,12
미녀와 야수,2014-06-18,2393617300,316332,387,15414,abroad,1,major_domestic,0,1476866,3,G_rated,2,6
해리포터와 마법사의 돌,2001-12-13,2349913000,267950,33,3929,abroad,1,major_abroad,1,932025,3,G_rated,2,12
구스범스,2016-01-14,2221639712,297356,515,13477,abroad,1,major_abroad,1,297356,3,PG 12,1,1
메리 포핀스 리턴즈,2019-02-14,1816281960,224160,573,11128,abroad,1,major_abroad,1,1223870,3,G_rated,2,2
해리포터와 아즈카반의 죄수,2004-07-16,529704500,58349,47,3414,abroad,1,major_abroad,1,1626521,3,G_rated,2,7
