moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
곡성,2016-05-12,55863520382,6879908,1485,130322,domestic,0,etc_distributor,2,4188575,3,PG 15,0,5
마녀,2018-06-27,27242029463,3189091,1117,90843,domestic,0,major_abroad,1,3081633,3,PG 15,0,6
사바하,2019-02-20,20007508194,2398519,1174,78096,domestic,0,major_domestic,0,2398519,3,PG 15,0,2
화차,2012-03-08,18459428000,2436438,548,62643,domestic,0,etc_distributor,2,2436438,3,PG 15,0,3
클로젯,2020-02-05,10971962280,1270835,1197,71453,domestic,0,major_domestic,0,1270835,3,PG 15,0,2
기억의 밤,2017-11-29,10646654660,1386611,759,52847,domestic,0,etc_distributor,2,1386611,2,PG 15,0,11
장산범,2017-08-17,10341783083,1306438,711,34768,domestic,0,major_domestic,0,1306438,2,PG 15,0,8
미씽: 사라진 여자,2016-11-30,8881616256,1153109,790,40617,domestic,0,etc_distributor,2,2152990,2,PG 15,0,11
"날, 보러와요",2016-04-07,8836144063,1063442,683,49237,domestic,0,etc_distributor,2,1146205,3,X_rated,3,4
베스트셀러,2010-04-15,7983184500,1081752,308,41064,domestic,0,etc_distributor,2,1035829,1,PG 15,0,4
그랜드 부다페스트 호텔,2014-03-20,6019756082,774699,241,26377,abroad,1,etc_distributor,2,774699,3,PG 15,0,3
인페르노,2016-10-19,5656281303,689071,754,31809,abroad,1,major_abroad,1,749235,3,PG 15,0,10
침입자,2020-06-04,4810611000,532045,1365,53636,domestic,0,etc_distributor,2,532045,2,PG 15,0,6
버닝,2018-05-17,4716771098,528435,739,26514,domestic,0,etc_distributor,2,528435,3,X_rated,3,5
슈퍼 에이트,2011-06-16,3622888500,472125,411,21883,abroad,1,major_domestic,0,1346973,3,PG 12,1,6
적인걸: 측천무후의 비밀,2010-10-06,3342474000,459876,292,23640,abroad,1,major_domestic,0,459876,3,PG 12,1,10
두 개의 달,2012-07-12,2949348748,426706,347,16810,domestic,0,major_domestic,0,426706,3,PG 15,0,7
클로버필드 10번지,2016-04-07,2928428655,357736,575,24680,abroad,1,major_domestic,0,357736,3,PG 15,0,4
경성학교: 사라진 소녀들,2015-06-18,2749609100,356415,489,18520,domestic,0,major_domestic,0,2710049,3,PG 15,0,6
줄리아의 눈,2011-03-31,1827252000,236365,232,15411,abroad,1,etc_distributor,2,236365,3,X_rated,3,3
사라진 시간,2020-06-18,1652522580,185802,874,20790,domestic,0,etc_distributor,2,185802,3,PG 15,0,6
나이브스 아웃,2019-12-04,1225050880,147395,163,6812,abroad,1,etc_distributor,2,555288,3,PG 12,1,12
