moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
늑대소년,2012-10-31,46590107000,6654390,854,109069,domestic,0,major_domestic,0,2833113,2,PG 15,0,10
내 아내의 모든 것,2012-05-17,34223620500,4598821,563,91773,domestic,0,major_domestic,0,1590719,3,PG 15,0,5
건축학개론,2012-03-22,30222696000,4111068,593,106067,domestic,0,major_domestic,0,4111068,3,PG 12,1,3
가장 보통의 연애,2019-10-02,24885803430,2924563,1073,111527,domestic,0,major_domestic,0,2924563,2,PG 15,0,10
너의 결혼식,2018-08-22,23676244369,2820969,970,98193,domestic,0,etc_distributor,2,2820969,2,PG 12,1,8
타이탄,2010-04-01,21796996500,2642483,694,87911,abroad,1,major_abroad,1,3721359,2,PG 15,0,4
지금 만나러 갑니다,2018-03-14,20800916128,2602273,1191,97482,domestic,0,major_domestic,0,2602273,2,PG 12,1,3
오싹한 연애,2011-12-01,20289813500,2777998,544,54630,domestic,0,major_domestic,0,2777998,2,PG 12,1,12
시라노; 연애조작단,2010-09-16,19838369000,2684783,415,77736,domestic,0,major_domestic,0,2137558,3,PG 12,1,9
후궁 : 제왕의 첩,2012-06-06,19330302500,2636320,624,69104,domestic,0,major_domestic,0,1520119,3,X_rated,3,6
위험한 상견례,2011-03-31,19174920500,2595625,524,75068,domestic,0,major_domestic,0,1135495,3,PG 15,0,3
나의 사랑 나의 신부,2014-10-08,16636404305,2141155,629,69681,domestic,0,etc_distributor,2,2141155,2,PG 15,0,10
뷰티 인사이드,2015-08-20,16148479531,2053435,648,52618,domestic,0,major_domestic,0,2053435,3,PG 12,1,8
쩨쩨한 로맨스,2010-12-01,15338827000,2009586,450,46199,domestic,0,major_domestic,0,2317636,2,X_rated,3,12
오늘의 연애,2015-01-14,14924654487,1891993,709,47237,domestic,0,major_domestic,0,1891993,3,PG 15,0,1
연애의 온도,2013-03-21,13798864446,1865195,567,57847,domestic,0,major_domestic,0,1240838,2,X_rated,3,3
쎄시봉,2015-02-05,13571515911,1715370,829,51744,domestic,0,major_domestic,0,2137558,3,PG 15,0,2
나의 PS 파트너,2012-12-06,13548606616,1786831,552,37625,domestic,0,major_domestic,0,1363183,2,X_rated,3,12
러브픽션,2012-02-29,13200412500,1726202,617,44130,domestic,0,major_domestic,0,1726202,2,PG 15,0,2
유열의 음악앨범,2019-08-28,10233455040,1245532,1078,59626,domestic,0,etc_distributor,2,1295945,2,PG 12,1,8
은교,2012-04-25,9918274444,1346359,521,41683,domestic,0,major_domestic,0,1295945,3,X_rated,3,4
결혼전야,2013-11-21,8434175719,1212843,524,38819,domestic,0,etc_distributor,2,1168829,3,PG 15,0,11
김종욱 찾기,2010-12-08,7894328000,1081748,427,31167,domestic,0,major_domestic,0,1309893,2,PG 12,1,12
미 비포 유,2016-06-01,7663772990,945172,481,28458,abroad,1,major_abroad,1,945172,2,PG 12,1,6
오직 그대만,2011-10-20,7591008500,1027622,435,35365,domestic,0,major_domestic,0,1027622,2,PG 15,0,10
스텝업4 : 레볼루션,2012-08-15,7157894000,953871,281,23522,abroad,1,major_domestic,0,639978,2,PG 12,1,8
좋아해줘,2016-02-17,6572774337,848148,637,27125,domestic,0,major_domestic,0,848148,3,PG 12,1,2
그날의 분위기,2016-01-14,5149571612,653287,592,27186,domestic,0,major_domestic,0,653287,2,PG 15,0,1
타이타닉,1998-02-20,4473640500,369643,272,10365,abroad,1,etc_distributor,2,3721359,2,PG 15,0,2
다크 섀도우,2012-05-10,4326459000,582126,394,18978,abroad,1,major_abroad,1,1215268,3,PG 15,0,5
레터스 투 줄리엣,2010-10-06,4270689500,582958,283,28683,abroad,1,major_domestic,0,582958,3,PG 12,1,10
