moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
아바타,2009-12-17,81455728000,8151952,714,111860,abroad,1,etc_distributor,2,3721359,3,PG 12,1,12
인터스텔라,2014-11-06,80671424300,10105247,1410,166218,abroad,1,major_abroad,1,3583005,3,PG 12,1,11
트랜스포머 3,2011-06-29,74840681500,7784743,1409,124450,abroad,1,major_domestic,0,5231726,3,PG 12,1,6
아이언맨 3,2013-04-25,70806364000,9001331,1389,163584,abroad,1,major_abroad,1,9001331,3,PG 12,1,4
설국열차,2013-08-01,67010087500,9349993,1128,124823,domestic,0,major_domestic,0,4788931,3,PG 15,0,8
트랜스포머: 사라진 시대,2014-06-25,44012752845,5295836,1602,107875,abroad,1,major_domestic,0,5231726,3,PG 12,1,6
마션,2015-10-08,39663145295,4880800,1132,114183,abroad,1,major_abroad,1,4880800,1,PG 12,1,10
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,4313871,1056,82722,abroad,1,etc_distributor,2,2233161,3,PG 12,1,5
데드풀 2,2018-05-16,34185664639,3784602,1576,113288,abroad,1,etc_distributor,2,3586444,3,PG 12,1,5
아이언맨 2,2010-04-29,32635195500,4425003,921,87665,abroad,1,major_domestic,0,3141537,3,PG 12,1,4
그래비티,2013-10-17,31214018600,3194693,636,80584,abroad,1,major_abroad,1,1626521,2,PG 12,1,10
데드풀,2016-02-17,27595618651,3317196,1036,82521,abroad,1,major_abroad,1,3586444,3,PG 12,1,2
터미네이터: 다크 페이트,2019-10-30,20153895830,2409062,1315,81336,abroad,1,major_abroad,1,2409062,3,PG 15,0,10
7광구,2011-08-04,19391653500,2242510,812,47346,domestic,0,major_domestic,0,2242510,3,PG 15,0,8
엑스맨: 퍼스트 클래스,2011-06-02,19075363000,2533852,587,56827,abroad,1,etc_distributor,2,4536339,3,PG 12,1,6
루시,2014-09-03,16468076039,1974893,641,44585,abroad,1,major_abroad,1,1974893,2,PG 15,0,9
초능력자,2010-11-10,15374489000,2130606,612,58000,domestic,0,major_domestic,0,2130606,3,PG 15,0,11
에이리언: 커버넌트,2017-05-09,10745826264,1307226,841,41761,abroad,1,etc_distributor,2,1263301,2,PG 15,0,5
엘리시움,2013-08-29,9017994500,1207732,588,31515,abroad,1,major_abroad,1,890696,3,X_rated,3,8
프로메테우스,2012-06-06,8600146099,971482,521,31629,abroad,1,etc_distributor,2,1263301,3,X_rated,3,6
더 울버린,2013-07-25,7849518000,1075333,707,26905,abroad,1,etc_distributor,2,619031,1,PG 15,0,7
존 카터: 바숨 전쟁의 서막,2012-03-08,7229870500,838126,508,30760,abroad,1,etc_distributor,2,1719930,3,PG 12,1,3
스카이 라인,2010-11-24,6320601500,860340,427,31690,abroad,1,etc_distributor,2,860340,2,PG 12,1,11
공각기동대 : 고스트 인 더 쉘,2017-03-29,6285970884,764072,807,36261,abroad,1,major_domestic,0,700351,1,PG 15,0,3
퍼스트맨,2018-10-18,6094765639,665364,1190,40580,abroad,1,major_abroad,1,286379,2,PG 12,1,10
픽셀,2015-07-16,5390909947,681945,557,21307,abroad,1,major_abroad,1,932025,3,PG 12,1,7
애드 아스트라,2019-09-19,4518393460,513375,853,27816,abroad,1,etc_distributor,2,513375,1,PG 12,1,9
루퍼,2012-10-11,4265566000,571922,386,23599,abroad,1,etc_distributor,2,555288,3,X_rated,3,10
애프터 어스,2013-05-30,3831856167,537920,484,19867,abroad,1,major_abroad,1,1012844,3,PG 12,1,5
엔더스 게임,2013-12-31,3695768000,487679,458,18384,abroad,1,major_domestic,0,487679,3,PG 12,1,12
클라우드 아틀라스,2013-01-09,3385615727,449344,382,13627,abroad,1,major_domestic,0,449344,3,X_rated,3,1
락아웃: 익스트림미션,2012-06-14,3373780000,462176,374,22172,abroad,1,major_domestic,0,462176,3,PG 15,0,6
주피터 어센딩,2015-02-05,2687549879,309842,561,16454,abroad,1,major_abroad,1,309842,3,PG 12,1,2
인서전트,2015-03-25,2158449889,282662,480,18214,abroad,1,major_domestic,0,353353,3,PG 15,0,3
백 투 더 비기닝,2015-02-26,2018287400,266610,423,13839,abroad,1,major_domestic,0,266610,3,PG 15,0,2
프레데터스,2010-08-26,1991492500,276536,231,14168,abroad,1,etc_distributor,2,276536,2,PG 15,0,8
더 플랫폼,2020-05-13,604615000,66038,228,9706,abroad,1,etc_distributor,2,66038,1,X_rated,3,5
