moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
조커,2019-10-02,45381075450,5247874,1418,147380,abroad,1,major_abroad,1,5247874,1,PG 15,0,10
숨바꼭질,2013-08-14,39602977500,5604103,779,88062,domestic,0,major_domestic,0,5604103,3,X_rated,3,8
아가씨,2016-06-01,35211229991,4287839,1171,90365,domestic,0,major_domestic,0,4287839,3,X_rated,3,6
서치,2018-08-29,25283364845,2949944,1097,95758,abroad,1,etc_distributor,2,2949944,3,PG 15,0,8
타워,2012-12-25,22996601500,3166425,638,58869,domestic,0,major_domestic,0,3166425,3,X_rated,3,12
목격자,2018-08-15,21737061097,2524720,1021,71403,domestic,0,major_domestic,0,2524720,3,X_rated,3,8
이웃사람,2012-08-22,18088462369,2434269,600,56752,domestic,0,major_domestic,0,2434269,3,X_rated,3,8
하녀,2010-05-13,17038639000,2267556,555,59621,domestic,0,etc_distributor,2,2267556,3,X_rated,3,5
몽타주,2013-05-16,15002458500,2095592,544,53195,domestic,0,major_domestic,0,2095592,3,PG 15,0,5
도어락,2018-12-05,12792097886,1559616,954,53732,domestic,0,etc_distributor,2,1559616,3,PG 15,0,12
어스,2019-03-27,12586771104,1475087,1132,58522,abroad,1,major_abroad,1,1475087,3,PG 15,0,3
사라진 밤,2018-03-07,10697981316,1315726,925,60087,domestic,0,etc_distributor,2,1315726,3,PG 15,0,3
해빙,2017-03-01,9905406822,1204600,915,46227,domestic,0,major_domestic,0,1204600,3,PG 15,0,3
시간이탈자,2016-04-13,9731838195,1202384,733,55075,domestic,0,major_domestic,0,1202384,3,PG 15,0,4
간기남,2012-04-11,9356404500,1246185,396,38155,domestic,0,major_domestic,0,1182231,3,X_rated,3,4
심야의 F.M.,2010-10-14,9179170500,1208306,423,50423,domestic,0,major_domestic,0,1208306,4,X_rated,3,10
그놈이다,2015-10-28,8096427152,1046015,681,38678,domestic,0,etc_distributor,2,1046015,3,PG 15,0,10
방황하는 칼날,2014-04-10,7828891800,989906,594,38850,domestic,0,major_domestic,0,1035829,2,X_rated,3,4
파괴된 사나이,2010-07-01,7692092100,1012310,363,31985,domestic,0,etc_distributor,2,2977866,3,X_rated,3,7
인랑,2018-07-25,7006622673,898945,1085,25427,domestic,0,major_abroad,1,898945,3,PG 15,0,7
돈 크라이 마미,2012-11-22,6798882099,972962,444,29539,domestic,0,etc_distributor,2,972962,3,PG 15,0,11
평행이론,2010-02-18,6793066000,921111,265,32341,domestic,0,major_domestic,0,921111,2,PG 15,0,2
열한시,2013-11-28,6097792000,870785,512,32536,domestic,0,major_domestic,0,2137558,3,PG 15,0,11
더 파이브,2013-11-14,5343797000,731212,501,27308,domestic,0,major_domestic,0,731212,3,X_rated,3,11
널 기다리며,2016-03-10,5234303336,635235,551,33774,domestic,0,major_domestic,0,635235,3,X_rated,3,3
나를 찾아줘,2019-11-27,5117014620,645082,875,29475,domestic,0,major_abroad,1,645082,3,PG 15,0,11
그것: 두 번째 이야기,2019-09-04,5112010367,591346,999,25622,abroad,1,major_abroad,1,591346,3,PG 15,0,9
특종: 량첸살인기,2015-10-22,4754763118,616481,776,31783,domestic,0,major_domestic,0,1240838,3,PG 15,0,10
콰이어트 플레이스,2018-04-12,4580889849,526073,677,30760,abroad,1,major_domestic,0,526073,3,PG 15,0,4
맨 온 렛지,2012-02-22,4393531500,591841,408,22440,abroad,1,major_domestic,0,591841,3,PG 15,0,2
얼라이드,2017-01-11,4278041179,518886,546,19875,abroad,1,major_domestic,0,518886,3,PG 15,0,1
고스트버스터즈,2016-08-25,4116570075,515553,511,18026,abroad,1,major_abroad,1,515553,3,PG 12,1,8
7년의 밤,2018-03-28,3969337524,528007,872,26804,domestic,0,major_domestic,0,6423698,3,PG 15,0,3
밀레니엄 : 여자를 증오한 남자들,2012-01-11,3504237000,443855,321,12005,abroad,1,etc_distributor,2,476516,2,X_rated,3,1
반드시 잡는다,2017-11-29,3326439772,446780,565,24559,domestic,0,major_domestic,0,959726,2,PG 15,0,11
언더 워터,2016-07-13,3111772391,384789,518,13058,abroad,1,major_abroad,1,246998,3,PG 15,0,7
스토커,2013-02-28,2829265174,378874,329,15590,abroad,1,etc_distributor,2,378874,1,PG 15,0,2
석조저택 살인사건,2017-05-09,2829106886,353517,539,17925,domestic,0,etc_distributor,2,353517,3,PG 15,0,5
함정,2015-09-10,2090877200,257990,445,10899,domestic,0,etc_distributor,2,257990,3,X_rated,3,9
적과의 동침,2011-04-27,1740340000,243094,391,14069,domestic,0,major_domestic,0,243094,2,X_rated,3,4
언힌지드,2020-10-07,1018720190,118570,676,19770,abroad,1,etc_distributor,2,118570,3,X_rated,3,10
언더워터,2020-05-27,937112800,109207,594,18257,abroad,1,major_abroad,1,246998,3,PG 15,0,5
디바,2020-09-23,901717350,108122,831,18923,domestic,0,etc_distributor,2,108122,2,PG 15,0,9
