영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
극한직업,2019.1.23,139651845516.0,"16,265,618","2,003","292,584",한국,(주)씨제이이엔엠
명량,2014.7.30,135748398910.0,"17,613,682","1,587","188,611",한국,(주)씨제이이엔엠
어벤져스: 엔드게임,2019.4.24,122182694160.0,"13,934,592","2,835","242,001",미국,월트디즈니컴퍼니코리아 유한책임회사
베테랑,2015.8.5,105168155250.0,"13,414,009","1,115","199,231",한국,(주)씨제이이엔엠
신과함께-인과 연,2018.8.1,102666146909.0,"12,274,996","2,235","179,981",한국,롯데컬처웍스(주)롯데엔터테인먼트
어벤져스: 인피니티 워,2018.4.25,99926399769.0,"11,212,710","2,553","240,501",미국,월트디즈니컴퍼니코리아 유한책임회사
암살,2015.7.22,98463132781.0,"12,705,700","1,519","175,185",한국,(주)쇼박스
택시운전사,2017.8.2,95853645649.0,"12,186,327","1,906","184,075",한국,(주)쇼박스
도둑들,2012.7.25,93664808500.0,"12,983,178","1,091","155,392","한국,홍콩",(주)쇼박스
부산행,2016.7.20,93178283048.0,"11,565,479","1,788","151,315",한국,(주)넥스트엔터테인먼트월드(NEW)
7번방의 선물,2013.1.23,91431914670.0,"12,811,206",866,"166,815",한국,(주)넥스트엔터테인먼트월드(NEW)
"광해, 왕이 된 남자",2012.9.13,88899448769.0,"12,319,390","1,001","203,400",한국,(주)씨제이이엔엠
어벤져스: 에이지 오브 울트론,2015.4.23,88582586366.0,"10,494,499","1,843","191,778",미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
겨울왕국,2014.1.16,82461504400.0,"10,296,101","1,010","157,683",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
아바타,2009.12.17,81455728000.0,"8,151,952",714,"111,860",미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
인터스텔라,2014.11.6,80671424300.0,"10,105,247","1,410","166,218","미국,영국",워너브러더스 코리아(주)
엑시트,2019.7.31,79232012162.0,"9,426,011","1,660","202,223",한국,(주)씨제이이엔엠
검사외전,2016.2.3,77320403264.0,"9,707,581","1,812","153,532",한국,(주)쇼박스
트랜스포머 3,2011.6.29,74840681500.0,"7,784,743","1,409","124,450",미국,(주)씨제이이엔엠
캡틴 아메리카: 시빌 워,2016.4.27,72672111827.0,"8,677,249","1,991","161,696",미국,월트디즈니컴퍼니코리아(주)
아이언맨 3,2013.4.25,70806364000.0,"9,001,331","1,389","163,584",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
국제시장,2014.12.17,69841376134.0,"8,915,904","1,044","149,061",한국,(주)씨제이이엔엠
스파이더맨: 파 프롬 홈,2019.7.2,69010000100.0,"8,021,145","2,142","180,474",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
설국열차,2013.8.1,67010087500.0,"9,349,993","1,128","124,823","한국,체코",(주)씨제이이엔엠
해적: 바다로 간 산적,2014.8.6,66370682706.0,"8,666,046",910,"133,350",한국,롯데쇼핑㈜롯데엔터테인먼트
관상,2013.9.11,66005427500.0,"9,134,581","1,240","125,073",한국,(주)쇼박스
공조,2017.1.18,63783051326.0,"7,817,618","1,392","142,989",한국,(주)씨제이이엔엠
수상한 그녀,2014.1.22,62705348249.0,"8,657,982","1,027","136,975",한국,(주)씨제이이엔엠
밀정,2016.9.7,61269783831.0,"7,500,420","1,444","138,161","한국,미국",워너브러더스 코리아(주)
어벤져스,2012.4.26,59557853478.0,"7,074,867",967,"109,697",미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
스파이더맨: 홈 커밍,2017.7.5,59125813820.0,"7,258,678","1,965","164,448",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
터널,2016.8.10,57529484417.0,"7,120,508","1,105","113,201",한국,(주)쇼박스
내부자들,2015.11.19,56465665657.0,"7,055,332","1,129","152,265",한국,(주)쇼박스
럭키,2016.10.13,56444461256.0,"6,975,290","1,234","155,977",한국,(주)쇼박스
범죄도시,2017.10.3,56318014149.0,"6,879,841","1,315","149,334",한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
미션 임파서블: 폴아웃,2018.7.25,55888375112.0,"6,584,915","1,957","101,374",미국,롯데컬처웍스(주)롯데엔터테인먼트
곡성,2016.5.12,55863520382.0,"6,879,908","1,485","130,322","한국,미국",이십세기폭스코리아(주)
최종병기 활,2011.8.10,55827861500.0,"7,470,633",615,"130,054",한국,롯데쇼핑㈜롯데엔터테인먼트
인천상륙작전,2016.7.27,55101410303.0,"7,049,643","1,049","97,019",한국,(주)씨제이이엔엠
써니,2011.5.4,54035565100.0,"7,362,657",546,"149,135",한국,(주)씨제이이엔엠
베를린,2013.1.30,52355568637.0,"7,166,290",894,"111,744","한국,독일",(주)씨제이이엔엠
캡틴 마블,2019.3.6,51507488723.0,"5,802,810","2,100","186,382",미국,월트디즈니컴퍼니코리아 유한책임회사
군함도,2017.7.26,50510565168.0,"6,592,151","2,027","108,775",한국,(주)씨제이이엔엠
킹스맨 : 시크릿 에이전트,2015.2.11,50369009795.0,"6,129,681",728,"139,988","미국,영국",이십세기폭스코리아(주)
쥬라기 월드: 폴른 킹덤,2018.6.6,49770711037.0,"5,661,128","1,972","144,779",미국,유니버설픽쳐스인터내셔널 코리아(유)
사도,2015.9.16,48842902501.0,"6,246,849","1,210","124,246",한국,(주)쇼박스
은밀하게 위대하게,2013.6.5,48700887413.0,"6,959,083","1,341","117,461",한국,(주)쇼박스
미션 임파서블: 로그네이션,2015.7.30,48547353607.0,"6,126,488","1,202","89,682",미국,롯데쇼핑㈜롯데엔터테인먼트
쥬라기 월드,2015.6.11,47800698826.0,"5,546,792","1,290","118,959",미국,유니버설픽쳐스인터내셔널 코리아(유)
다크 나이트 라이즈,2012.7.19,47644838000.0,"6,396,528","1,210","81,254","미국,영국",워너브러더스 코리아(주)
닥터 스트레인지,2016.10.26,47481830396.0,"5,446,239","1,503","162,856",미국,월트디즈니컴퍼니코리아(주)
앤트맨과 와스프,2018.7.4,47468053685.0,"5,448,134","1,775","148,244",미국,월트디즈니컴퍼니코리아 유한책임회사
신과함께-죄와 벌,2017.12.20,47355583705.0,"5,872,007","1,644","121,961",한국,롯데쇼핑㈜롯데엔터테인먼트
아저씨,2010.8.4,47101332000.0,"6,178,248",501,"109,853",한국,CJ ENM
늑대소년,2012.10.31,46590107000.0,"6,654,390",854,"109,069",한국,(주)씨제이이엔엠
안시성,2018.9.19,46335334026.0,"5,440,186","1,540","110,439",한국,(주)넥스트엔터테인먼트월드(NEW)
블랙 팬서,2018.2.14,45885123957.0,"5,399,227","1,620","119,170",미국,월트디즈니컴퍼니코리아 유한책임회사
연평해전,2015.6.24,45563228330.0,"6,043,784","1,013","114,450",한국,(주)넥스트엔터테인먼트월드(NEW)
조커,2019.10.2,45381075450.0,"5,247,874","1,418","147,380",미국,워너브러더스 코리아(주)
덕혜옹주,2016.8.3,44393828109.0,"5,599,229",964,"97,312",한국,롯데쇼핑㈜롯데엔터테인먼트
청년경찰,2017.8.9,44381150516.0,"5,653,270","1,102","118,544",한국,롯데쇼핑㈜롯데엔터테인먼트
완벽한 타인,2018.10.31,44350807074.0,"5,293,435","1,325","143,055",한국,롯데컬처웍스(주)롯데엔터테인먼트
쿵푸팬더 2,2011.5.26,44298708500.0,"5,062,720",948,"101,338",미국,(주)씨제이이엔엠
트랜스포머: 사라진 시대,2014.6.25,44012752845.0,"5,295,836","1,602","107,875",미국,(주)씨제이이엔엠
더 킹,2017.1.18,43488814535.0,"5,317,693","1,310","107,983",한국,(주)넥스트엔터테인먼트월드(NEW)
독전,2018.5.22,43485551113.0,"5,063,684","1,532","140,007",한국,(주)넥스트엔터테인먼트월드(NEW)
1987,2017.12.27,42915772108.0,"5,290,310","1,122","110,607",한국,(주)씨제이이엔엠
공작,2018.8.8,42788851176.0,"4,974,520","1,317","99,001",한국,(주)씨제이이엔엠
검은 사제들,2015.11.5,42405282092.0,"5,442,128","1,109","131,155",한국,(주)씨제이이엔엠
변호인,2013.12.18,41918383800.0,"5,687,571",925,"97,261",한국,(주)넥스트엔터테인먼트월드(NEW)
라이온 킹,2019.7.17,41519457430.0,"4,743,264","1,936","126,496",미국,월트디즈니컴퍼니코리아 유한책임회사
남산의 부장들,2020.1.22,41225216650.0,"4,750,345","1,659","140,051",한국,(주)쇼박스
어메이징 스파이더맨,2012.6.28,41163951235.0,"4,853,123","1,118","92,755",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
킹스맨: 골든 서클,2017.9.27,40987484736.0,"4,945,484","1,687","95,922","미국,영국",이십세기폭스코리아(주)
봉오동 전투,2019.8.7,40588648538.0,"4,787,538","1,476","107,030",한국,(주)쇼박스
의형제,2010.2.4,40153729000.0,"5,416,812",569,"118,243",한국,(주)쇼박스
더 테러 라이브,2013.7.31,39869706381.0,"5,584,139",809,"93,488",한국,롯데쇼핑㈜롯데엔터테인먼트
마스터,2016.12.21,39784641065.0,"4,935,320","1,501","70,786",한국,(주)씨제이이엔엠
마션,2015.10.8,39663145295.0,"4,880,800","1,132","114,183",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
숨바꼭질,2013.8.14,39602977500.0,"5,604,103",779,"88,062",한국,(주)넥스트엔터테인먼트월드(NEW)
나쁜 녀석들: 더 무비,2019.9.11,39560195124.0,"4,573,902","1,511","113,938",한국,(주)씨제이이엔엠
히말라야,2015.12.16,39469775448.0,"5,129,409","1,095","81,042",한국,(주)씨제이이엔엠
감시자들,2013.7.3,39380162179.0,"5,508,017",949,"100,309",한국,(주)넥스트엔터테인먼트월드(NEW)
신비한 동물사전,2016.11.16,39300515858.0,"4,662,534","1,431","115,676","미국,영국",워너브러더스 코리아(주)
토르: 라그나로크,2017.10.25,39227691395.0,"4,853,778","1,640","137,423",미국,월트디즈니컴퍼니코리아 유한책임회사
엣지 오브 투모로우,2014.6.4,38732961201.0,"4,699,307",801,"94,559",미국,워너브러더스 코리아(주)
다만 악에서 구하소서,2020.8.5,38602260990.0,"4,357,803","1,998","193,842",한국,(주)씨제이이엔엠
월드 워 Z,2013.6.20,38555356000.0,"5,237,525",964,"100,823",미국,롯데쇼핑㈜롯데엔터테인먼트
완득이,2011.10.20,38526161500.0,"5,309,928",629,"117,763",한국,(주)씨제이이엔엠
인사이드 아웃,2015.7.9,38024694936.0,"4,969,735",931,"84,000",미국,월트디즈니컴퍼니코리아(주)
주토피아,2016.2.17,37096057742.0,"4,706,158",735,"131,005",미국,월트디즈니컴퍼니코리아(주)
군도: 민란의 시대,2014.7.23,36988022499.0,"4,774,931","1,394","67,237",한국,(주)쇼박스
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,36538823500.0,"4,719,872",713,"91,889",한국,(주)쇼박스
조선명탐정 : 각시투구꽃의 비밀,2011.1.27,35841769500.0,"4,786,259",634,"84,189",한국,(주)쇼박스
도가니,2011.9.22,35566854800.0,"4,662,822",756,"88,337",한국,(주)씨제이이엔엠
아가씨,2016.6.1,35211229991.0,"4,287,839","1,171","90,365",한국,(주)씨제이이엔엠
