영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
도둑들,2012.7.25,"93,664,808,500","12,983,178","1,091","155,392","한국,홍콩",(주)쇼박스
"광해, 왕이 된 남자",2012.9.13,"88,899,448,769","12,319,390","1,001","203,400",한국,(주)씨제이이엔엠
어벤져스,2012.4.26,"59,557,853,478","7,074,867",967,"109,697",미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
늑대소년,2012.10.31,"46,590,107,000","6,654,390",854,"109,069",한국,(주)씨제이이엔엠
다크 나이트 라이즈,2012.7.19,"47,644,838,000","6,396,528","1,210","81,254","미국,영국",워너브러더스 코리아(주)
바람과 함께 사라지다,2012.8.8,"34,614,661,161","4,909,937",694,"78,591",한국,(주)넥스트엔터테인먼트월드(NEW)
어메이징 스파이더맨,2012.6.28,"41,163,951,235","4,853,123","1,118","92,755",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,"36,538,823,500","4,719,872",713,"91,889",한국,(주)쇼박스
내 아내의 모든 것,2012.5.17,"34,223,620,500","4,598,821",563,"91,773",한국,(주)넥스트엔터테인먼트월드(NEW)
연가시,2012.7.5,"32,175,400,664","4,515,833",759,"71,928",한국,(주)씨제이이엔엠
건축학개론,2012.3.22,"30,222,696,000","4,111,068",593,"106,067",한국,롯데쇼핑㈜롯데엔터테인먼트
댄싱퀸,2012.1.18,"30,130,775,500","4,058,225",544,"80,987",한국,(주)씨제이이엔엠
부러진 화살,2012.1.18,"25,878,629,500","3,451,025",530,"71,560",한국,(주)넥스트엔터테인먼트월드(NEW)
맨 인 블랙 3,2012.5.24,"27,301,520,070","3,379,762",770,"69,538",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
레미제라블,2012.12.19,"23,428,605,500","3,210,107",696,"33,153",미국,유니버설픽쳐스인터내셔널 코리아(유)
26년,2012.11.29,"21,111,878,145","2,940,475",611,"50,044",한국,"(주)인벤트스톤,영화사청어람(주)"
내가 살인범이다,2012.11.8,"20,392,266,000","2,729,798",547,"58,409",한국,(주)쇼박스
브레이킹 던 part2,2012.11.15,"18,909,583,065","2,654,817",665,"56,995",미국,(주)넥스트엔터테인먼트월드(NEW)
후궁 : 제왕의 첩,2012.6.6,"19,330,302,500","2,636,320",624,"69,104",한국,롯데쇼핑㈜롯데엔터테인먼트
호빗: 뜻밖의 여정,2012.12.13,"21,724,069,066","2,605,124","1,028","44,977","미국,뉴질랜드",워너브러더스 코리아(주)
미션임파서블:고스트프로토콜,2011.12.15,"19,536,876,000","2,533,735",697,"53,514",미국,(주)씨제이이엔엠
화차,2012.3.8,"18,459,428,000","2,436,438",548,"62,643",한국,필라멘트픽쳐스
이웃사람,2012.8.22,"18,088,462,369","2,434,269",600,"56,752",한국,롯데쇼핑㈜롯데엔터테인먼트
007 스카이폴,2012.10.26,"17,487,213,000","2,376,145",748,"51,357","미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
테이큰 2,2012.9.27,"17,581,098,553","2,308,596",682,"51,344",프랑스,이십세기폭스코리아(주)
배틀쉽,2012.4.11,"16,545,921,500","2,241,687",736,"53,109",미국,유니버설픽쳐스인터내셔널 코리아(유)
장화신은 고양이,2012.1.12,"17,602,643,500","2,080,445",593,"45,451",미국,(주)씨제이이엔엠
타워,2012.12.25,"14,658,256,500","2,014,589",617,"22,278",한국,(주)씨제이이엔엠
코리아,2012.5.3,"13,448,848,500","1,872,681",537,"49,679",한국,(주)씨제이이엔엠
나의 PS 파트너,2012.12.6,"13,548,606,616","1,786,831",552,"37,625",한국,(주)씨제이이엔엠
반창꼬,2012.12.19,"12,459,852,719","1,730,535",466,"26,039",한국,(주)넥스트엔터테인먼트월드(NEW)
러브픽션,2012.2.29,"13,200,412,500","1,726,202",617,"44,130",한국,(주)넥스트엔터테인먼트월드(NEW)
언터처블: 1%의 우정,2012.3.22,"12,735,040,000","1,720,472",454,"48,976",프랑스,(주)넥스트엔터테인먼트월드(NEW)
아이스 에이지 4: 대륙 이동설,2012.7.25,"12,291,969,704","1,648,110",501,"26,899",미국,이십세기폭스코리아(주)
공모자들,2012.8.29,"12,240,964,500","1,646,142",496,"44,959",한국,"씨너스엔터테인먼트(주),타임스토리그룹(주)"
마다가스카3 : 이번엔 서커스다!,2012.6.6,"12,521,043,500","1,629,799",564,"34,150",미국,(주)씨제이이엔엠
하울링,2012.2.16,"11,765,293,500","1,612,554",550,"44,753",한국,(주)씨제이이엔엠
용의자X,2012.10.18,"11,241,013,000","1,552,055",553,"42,989",한국,(주)씨제이이엔엠
새미의 어드벤쳐 2,2012.8.1,"10,856,204,000","1,457,380",486,"26,436",벨기에,(주)씨제이이엔엠
차형사,2012.5.30,"9,752,555,296","1,346,754",433,"39,152",한국,(주)씨제이이엔엠
은교,2012.4.25,"9,918,274,444","1,346,359",521,"41,683",한국,롯데쇼핑㈜롯데엔터테인먼트
간첩,2012.9.20,"9,316,548,500","1,310,895",576,"41,726",한국,롯데쇼핑㈜롯데엔터테인먼트
간기남,2012.4.11,"9,356,404,500","1,246,185",396,"38,155",한국,(주)쇼박스
메리다와 마법의 숲,2012.9.27,"9,024,766,000","1,231,024",479,"22,087",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
토탈 리콜,2012.8.15,"8,958,236,000","1,219,637",448,"27,089","미국,캐나다",한국소니픽쳐스릴리징브에나비스타영화㈜
R2B: 리턴투베이스,2012.8.15,"8,602,921,371","1,201,944",539,"32,881",한국,(주)씨제이이엔엠
돈의 맛,2012.5.17,"8,780,178,611","1,166,018",643,"36,922","한국,필리핀","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
잃어버린 세계를 찾아서 2: 신비의 섬,2012.1.19,"9,784,305,000","1,149,628",398,"27,236",미국,워너브러더스 코리아(주)
회사원,2012.10.11,"8,321,175,000","1,110,523",549,"41,275",한국,(주)쇼박스
가디언즈,2012.11.29,"8,083,010,500","1,056,250",470,"21,045",미국,(주)씨제이이엔엠
점박이:한반도의 공룡3D,2012.1.26,"9,681,445,500","1,050,852",457,"22,475",한국,(주)씨제이이엔엠
본 레거시,2012.9.6,"7,412,233,000","1,015,711",585,"31,628",미국,유니버설픽쳐스인터내셔널 코리아(유)
가문의 영광5 - 가문의 귀환,2012.12.19,"7,245,056,500","1,012,223",447,"22,573",한국,롯데쇼핑㈜롯데엔터테인먼트
시체가 돌아왔다,2012.3.29,"7,360,631,000","986,923",435,"36,705",한국,(주)씨제이이엔엠
원더풀 라디오,2012.1.5,"7,193,596,000","977,470",474,"29,167",한국,(주)쇼박스
돈 크라이 마미,2012.11.22,"6,798,882,099","972,962",444,"29,539",한국,(주)에스비에스콘텐츠허브
프로메테우스,2012.6.6,"8,600,146,099","971,482",521,"31,629",미국,이십세기폭스코리아(주)
스텝업4 : 레볼루션,2012.8.15,"7,157,894,000","953,871",281,"23,522",미국,롯데쇼핑㈜롯데엔터테인먼트
점쟁이들,2012.10.3,"6,731,202,500","953,682",479,"31,577",한국,(주)넥스트엔터테인먼트월드(NEW)
셜록홈즈 : 그림자 게임,2011.12.21,"7,168,608,500","949,299",360,"25,140",미국,워너브러더스 코리아(주)
타이탄의 분노,2012.3.29,"7,591,124,500","893,027",535,"33,580",미국,워너브러더스 코리아(주)
디스 민즈 워,2012.2.29,"6,661,435,000","873,396",351,"32,790",미국,이십세기폭스코리아(주)
미확인 동영상 : 절대클릭금지,2012.5.30,"5,939,840,500","867,386",361,"25,059",한국,(주)쇼박스
존 카터: 바숨 전쟁의 서막,2012.3.8,"7,229,870,500","838,126",508,"30,760",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
나는 왕이로소이다,2012.8.8,"5,455,343,404","790,181",471,"21,898",한국,롯데쇼핑㈜롯데엔터테인먼트
토르: 마법망치의 전설,2012.2.9,"5,550,797,500","768,426",383,"18,742",아이슬란드,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티"
퍼펙트 게임,2011.12.21,"5,224,000,500","695,312",396,"21,284",한국,롯데쇼핑㈜롯데엔터테인먼트
스노우 화이트 앤 더 헌츠맨,2012.5.30,"4,646,250,000","636,631",447,"20,647",미국,유니버설픽쳐스인터내셔널 코리아(유)
주먹왕 랄프,2012.12.19,"4,473,562,000","616,863",361,"9,560",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
미쓰GO,2012.6.21,"4,441,859,000","611,685",440,"24,851",한국,(주)넥스트엔터테인먼트월드(NEW)
헝거게임: 판엠의 불꽃,2012.4.5,"4,478,418,000","607,956",514,"24,924",미국,롯데쇼핑㈜롯데엔터테인먼트
피에타,2012.9.6,"4,355,592,500","603,283",326,"23,106",한국,(주)넥스트엔터테인먼트월드(NEW)
맨 온 렛지,2012.2.22,"4,393,531,500","591,841",408,"22,440",미국,롯데쇼핑㈜롯데엔터테인먼트
파파,2012.2.1,"4,000,072,000","587,291",414,"24,767","한국,미국",롯데쇼핑㈜롯데엔터테인먼트
백설공주,2012.5.3,"4,097,396,000","585,473",386,"20,746",미국,롯데쇼핑㈜롯데엔터테인먼트
다크 섀도우,2012.5.10,"4,326,459,000","582,126",394,"18,978",미국,워너브러더스 코리아(주)
루퍼,2012.10.11,"4,265,566,000","571,922",386,"23,599",미국,(주)에스비에스콘텐츠허브
레지던트 이블 5 : 최후의 심판,2012.9.13,"4,757,460,500","558,433",368,"24,599","미국,독일",한국소니픽쳐스릴리징브에나비스타영화㈜
마이 웨이,2011.12.21,"4,181,348,000","556,628",588,"22,546","한국,일본,중국","에스케이플래닛(주),(주)씨제이이엔엠"
명탐정 코난: 11번째 스트라이커,2012.7.19,"3,363,777,000","524,914",350,"10,687",일본,(주)씨제이이엔엠
아부의 왕,2012.6.21,"3,511,102,500","497,880",428,"22,060",한국,롯데쇼핑㈜롯데엔터테인먼트
페이스메이커,2012.1.18,"3,443,753,000","467,697",412,"21,875",한국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
락아웃: 익스트림미션,2012.6.14,"3,373,780,000","462,176",374,"22,172","미국,프랑스",롯데쇼핑㈜롯데엔터테인먼트
익스펜더블 2,2012.9.6,"3,208,867,228","444,434",393,"20,126",미국,롯데쇼핑㈜롯데엔터테인먼트
밀레니엄 : 여자를 증오한 남자들,2012.1.11,"3,504,237,000","443,855",321,"12,005","미국,스웨덴,영국,독일",한국소니픽쳐스릴리징브에나비스타영화㈜
두 개의 달,2012.7.12,"2,949,348,748","426,706",347,"16,810",한국,롯데쇼핑㈜롯데엔터테인먼트
늑대소년-확장판,2012.12.6,"2,868,180,500","414,064",278,"11,436",한국,(주)씨제이이엔엠
크로니클,2012.3.15,"2,884,776,000","384,398",324,"20,957",미국,이십세기폭스코리아(주)
타이타닉,1998.2.20,"4,473,640,500","369,643",272,"10,365",미국,"씨네힐,이십세기폭스코리아(주)"
프렌즈: 몬스터섬의비밀,2011.12.29,"2,668,476,500","364,732",290,"10,153",일본,"(주)스마일이엔티,(주)에스비에스콘텐츠허브"
미드나잇 인 파리,2012.7.5,"2,633,727,398","355,081",189,"9,256","미국,스페인","(주)디스테이션,(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트"
링컨: 뱀파이어 헌터,2012.8.30,"2,750,911,500","344,876",337,"16,372",미국,이십세기폭스코리아(주)
음치 클리닉,2012.11.29,"2,248,238,000","338,168",360,"16,243",한국,롯데쇼핑㈜롯데엔터테인먼트
늑대아이,2012.9.13,"2,296,193,261","332,702",226,"10,768",일본,(주)미디어데이
남영동1985,2012.11.22,"2,358,477,601","332,597",310,"15,679",한국,"씨너스엔터테인먼트(주),(주)엣나인필름"
무서운 이야기,2012.7.25,"2,452,368,566","331,760",274,"10,268",한국,롯데쇼핑㈜롯데엔터테인먼트
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012.12.19,"1,281,250,750","329,560",275,"5,943",일본,(주)씨제이이엔엠
모모와 다락방의 수상한 요괴들,2012.7.5,"1,988,264,000","300,174",253,"7,084",일본,타임스토리그룹(주)
빌리와 용감한 녀석들 3D,2012.8.8,"1,961,802,000","299,628",241,"7,176",독일,(주)에스비에스콘텐츠허브
