moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
극한직업,2019.1.23,139651845516.0,"16,265,618","2,003","292,584",한국,(주)씨제이이엔엠,이병헌,코미디,"류승룡(고반장), 이하늬(장형사), 진선규(마형사)",[국내] 15세 관람가
명량,2014.7.30,135748398910.0,"17,613,682","1,587","188,611",한국,(주)씨제이이엔엠,정세교,다큐멘터리,"김한민, 오타니 료헤이, 이해영",[국내] 12세 관람가
어벤져스: 엔드게임,2019.4.24,122182694160.0,"13,934,592","2,835","242,001",미국,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)",[국내] 12세 관람가
베테랑,2015.8.5,105168155250.0,"13,414,009","1,115","199,231",한국,(주)씨제이이엔엠,류승완,액션,"황정민(서도철), 유아인(조태오), 유해진(최상무)",[국내] 15세 관람가
신과함께-인과 연,2018.8.1,102666146909.0,"12,274,996","2,235","179,981",한국,롯데컬처웍스(주)롯데엔터테인먼트,김용화,판타지,"하정우(강림), 주지훈(해원맥), 김향기(덕춘)",[국내] 12세 관람가
어벤져스: 인피니티 워,2018.4.25,99926399769.0,"11,212,710","2,553","240,501",미국,월트디즈니컴퍼니코리아 유한책임회사,안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 조슈 브롤린(타노스), 크리스 헴스워스(토르)",[국내] 12세 관람가
암살,2015.7.22,98463132781.0,"12,705,700","1,519","175,185",한국,(주)쇼박스,라이언 화이트,다큐멘터리,[국내] 15세 관람가,
택시운전사,2017.8.2,95853645649.0,"12,186,327","1,906","184,075",한국,(주)쇼박스,장훈,드라마,"송강호(김만섭), 토마스 크레취만(위르겐 힌츠페터(피터)), 유해진(황태술)",[국내] 15세 관람가
도둑들,2012.7.25,93664808500.0,"12,983,178","1,091","155,392","한국,홍콩",(주)쇼박스,최동훈,범죄,"김윤석(마카오박), 김혜수(팹시), 이정재(뽀빠이)",[국내] 15세 관람가
부산행,2016.7.20,93178283048.0,"11,565,479","1,788","151,315",한국,(주)넥스트엔터테인먼트월드(NEW),연상호,액션,"공유(석우), 정유미(성경), 마동석(상화)",[국내] 15세 관람가
7번방의 선물,2013.1.23,91431914670.0,"12,811,206",866,"166,815",한국,(주)넥스트엔터테인먼트월드(NEW),이환경,코미디,"류승룡(용구), 박신혜(큰 예승), 갈소원(어린 예승)",[국내] 15세 관람가
"광해, 왕이 된 남자",2012.9.13,88899448769.0,"12,319,390","1,001","203,400",한국,(주)씨제이이엔엠,추창민,드라마,"이병헌(광해 / 하선), 류승룡(허균), 한효주(중전)",[국내] 15세 관람가
어벤져스: 에이지 오브 울트론,2015.4.23,88582586366.0,"10,494,499","1,843","191,778",미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",조스 웨던,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 헴스워스(토르), 마크 러팔로(브루스 배너 / 헐크)",[국내] 12세 관람가
겨울왕국,2014.1.16,82461504400.0,"10,296,101","1,010","157,683",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),크리스 벅,애니메이션,"크리스틴 벨(안나 목소리), 이디나 멘젤(엘사 목소리)",[국내] 전체 관람가
아바타,2009.12.17,81455728000.0,"8,151,952",714,"111,860",미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",제임스 카메론,SF,"샘 워싱턴(제이크 설리), 조 샐다나(네이티리), 시고니 위버(그레이스 박사)",[국내] 12세 관람가 [해외] PG-13
인터스텔라,2014.11.6,80671424300.0,"10,105,247","1,410","166,218","미국,영국",워너브러더스 코리아(주),크리스토퍼 놀란,SF,"매튜 맥커너히(쿠퍼), 앤 해서웨이(브랜드), 마이클 케인(브랜드 교수)",[국내] 12세 관람가
엑시트,2019.7.31,79232012162.0,"9,426,011","1,660","202,223",한국,(주)씨제이이엔엠,이상근,액션,"조정석(용남), 윤아(의주)",[국내] 12세 관람가
검사외전,2016.2.3,77320403264.0,"9,707,581","1,812","153,532",한국,(주)쇼박스,이일형,범죄,"황정민(변재욱), 강동원(한치원)",[국내] 15세 관람가
트랜스포머 3,2011.6.29,74840681500.0,"7,784,743","1,409","124,450",미국,(주)씨제이이엔엠,마이클 베이,SF,"샤이아 라보프(샘 윗윅키), 로지 헌팅턴 휘틀리(칼리), 조쉬 더하멜(Lt. 코널 윌리엄 레녹스)",[국내] 12세 관람가 [해외] PG-13
