영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
베테랑,2015.8.5,"105,168,155,250","13,414,009","1,115","199,231",한국,(주)씨제이이엔엠
암살,2015.7.22,"98,463,132,781","12,705,700","1,519","175,185",한국,(주)쇼박스
어벤져스: 에이지 오브 울트론,2015.4.23,"88,582,586,366","10,494,499","1,843","191,778",미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
국제시장,2014.12.17,"69,841,376,134","8,915,904","1,044","149,061",한국,(주)씨제이이엔엠
내부자들,2015.11.19,"56,465,665,657","7,055,332","1,129","152,265",한국,(주)쇼박스
사도,2015.9.16,"48,842,902,501","6,246,849","1,210","124,246",한국,(주)쇼박스
킹스맨 : 시크릿 에이전트,2015.2.11,"50,369,009,795","6,129,681",728,"139,988","미국,영국",이십세기폭스코리아(주)
미션 임파서블: 로그네이션,2015.7.30,"48,547,353,607","6,126,488","1,202","89,682",미국,롯데쇼핑㈜롯데엔터테인먼트
연평해전,2015.6.24,"45,563,228,330","6,043,784","1,013","114,450",한국,(주)넥스트엔터테인먼트월드(NEW)
쥬라기 월드,2015.6.11,"47,800,698,826","5,546,792","1,290","118,959",미국,유니버설픽쳐스인터내셔널 코리아(유)
검은 사제들,2015.11.5,"42,405,282,092","5,442,128","1,109","131,155",한국,(주)씨제이이엔엠
히말라야,2015.12.16,"39,469,775,448","5,129,409","1,095","81,042",한국,(주)씨제이이엔엠
인사이드 아웃,2015.7.9,"38,024,694,936","4,969,735",931,"84,000",미국,월트디즈니컴퍼니코리아(주)
마션,2015.10.8,"39,663,145,295","4,880,800","1,132","114,183",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
조선명탐정 : 사라진 놉의 딸,2015.2.11,"30,456,879,428","3,872,015",825,"80,499",한국,(주)쇼박스
매드 맥스: 분노의 도로,2015.5.14,"32,912,842,162","3,843,343",799,"98,824","미국,호주",워너브러더스 코리아(주)
인턴,2015.9.24,"28,517,727,148","3,610,564",659,"81,552",미국,워너브러더스 코리아(주)
분노의 질주: 더 세븐,2015.4.1,"26,454,098,694","3,247,955",983,"93,612",미국,유니버설픽쳐스인터내셔널 코리아(유)
터미네이터 제니시스,2015.7.2,"26,556,715,129","3,240,370","1,113","77,590",미국,롯데쇼핑㈜롯데엔터테인먼트
스물,2015.3.25,"23,563,421,686","3,044,811",926,"100,161",한국,(주)넥스트엔터테인먼트월드(NEW)
극비수사,2015.6.18,"22,389,535,897","2,860,786",894,"66,211",한국,(주)쇼박스
앤트맨,2015.9.3,"23,529,209,937","2,841,795",949,"74,649","미국,영국",월트디즈니컴퍼니코리아(주)
스타워즈: 깨어난 포스,2015.12.17,"24,149,478,540","2,803,234",940,"56,425",미국,월트디즈니컴퍼니코리아(주)
빅 히어로,2015.1.21,"21,993,119,765","2,801,949",825,"62,229",미국,월트디즈니컴퍼니코리아(주)
메이즈 러너: 스코치 트라이얼,2015.9.16,"21,596,946,349","2,744,413",804,"58,725",미국,이십세기폭스코리아(주)
탐정 : 더 비기닝,2015.9.24,"20,463,956,973","2,625,686",764,"54,995",한국,(주)씨제이이엔엠
미니언즈,2015.7.29,"18,998,046,278","2,625,599",792,"41,946",미국,유니버설픽쳐스인터내셔널 코리아(유)
스파이,2015.5.21,"18,417,637,358","2,318,748",665,"62,960",미국,이십세기폭스코리아(주)
악의 연대기,2015.5.14,"17,361,815,332","2,192,525",776,"64,351",한국,(주)씨제이이엔엠
강남 1970,2015.1.21,"17,718,699,499","2,192,276",841,"53,304",한국,(주)쇼박스
뷰티 인사이드,2015.8.20,"16,148,479,531","2,053,435",648,"52,618",한국,(주)넥스트엔터테인먼트월드(NEW)
오늘의 연애,2015.1.14,"14,924,654,487","1,891,993",709,"47,237",한국,(주)씨제이이엔엠
테이큰 3,2015.1.1,"15,088,105,000","1,860,934",616,"38,060",미국,이십세기폭스코리아(주)
007 스펙터,2015.11.11,"14,301,476,030","1,820,760","1,105","51,940","영국,미국",유니버설픽쳐스인터내셔널 코리아(유)
이미테이션 게임,2015.2.17,"13,655,929,120","1,743,963",541,"44,782",영국,메가박스중앙(주)플러스엠
샌 안드레아스,2015.6.3,"14,435,844,152","1,716,455",847,"62,016",미국,워너브러더스 코리아(주)
쎄시봉,2015.2.5,"13,571,515,911","1,715,370",829,"51,744",한국,(주)씨제이이엔엠
더 폰,2015.10.22,"12,309,164,568","1,593,694",794,"53,599",한국,(주)넥스트엔터테인먼트월드(NEW)
위플래쉬,2015.3.12,"12,656,619,045","1,589,032",574,"56,028",미국,"워터홀컴퍼니(주),(주)쇼박스"
대호,2015.12.16,"12,104,808,332","1,584,168",892,"39,599",한국,(주)넥스트엔터테인먼트월드(NEW)
마다가스카의 펭귄,2014.12.31,"11,450,482,159","1,512,340",615,"27,171",미국,(주)씨제이이엔엠
차이나타운,2015.4.29,"11,990,370,378","1,472,106",551,"45,137",한국,CGV아트하우스
